mean,std,max,min,median,stderr (mean),stderr (std),stderr (max),stderr (mean),stderr (median)
9928.8000,9821.2000,9885.7900,17.7375,9887.1000,9.0647,15.2292,1.0697,0.9499,1.3128
9930.8000,9821.2000,9885.0720,18.6180,9885.9000,5.7482,10.5023,1.3686,1.1213,1.1082
9929.6000,9822.4000,9885.1730,18.4354,9886.4000,3.6486,12.2796,1.1061,0.4107,1.1082
9931.4000,9829.2000,9884.8830,17.5760,9885.5000,6.0242,11.7656,1.2562,1.4486,2.1804
9926.0000,9833.6000,9884.6550,17.7660,9885.2000,4.4951,7.0542,1.4869,1.0683,1.5924
9930.6000,9827.2000,9884.5330,17.7808,9885.9000,6.4375,2.3041,1.1308,1.3350,1.6772
9926.2000,9820.2000,9884.7950,18.3175,9886.4000,2.2165,17.0343,0.9571,0.7367,0.4876
9929.2000,9811.6000,9884.9830,17.9375,9886.6000,6.1156,12.5982,1.7452,1.4087,1.7352
9928.4000,9826.6000,9885.5540,17.1301,9886.7000,6.1221,5.7894,1.0580,0.5680,1.5289
9933.2000,9828.6000,9884.1650,17.8667,9884.9000,7.8717,5.1368,1.4565,0.8680,1.5224
9925.2000,9821.6000,9884.5260,17.4934,9885.8000,5.6087,16.7789,0.7811,1.0447,0.7448
9926.6000,9814.2000,9883.6470,18.3359,9885.0000,4.8593,6.3069,0.8420,0.5437,0.9442
9930.2000,9822.0000,9883.9930,17.8382,9885.1000,4.1466,15.4308,0.9851,0.4820,1.4895
9923.8000,9823.0000,9883.3220,18.2177,9884.8000,4.6425,13.6168,1.2676,1.3502,1.2025
9922.8000,9818.4000,9883.9300,17.9369,9884.5000,2.1252,20.3922,0.8231,0.8911,0.8902
9925.0000,9827.0000,9884.0330,17.2632,9885.0000,2.5952,4.2224,0.4420,0.6208,0.6294
9928.0000,9827.8000,9884.0050,17.9586,9885.3000,5.4873,9.0866,1.2592,0.2839,1.5924
9930.8000,9817.6000,9884.0240,18.1116,9885.1000,5.4292,19.8307,1.2316,1.2137,1.8988
9925.0000,9822.0000,9881.5730,17.8805,9882.1000,6.1350,5.1905,1.0871,0.5682,1.2745
9919.2000,9829.0000,9882.0030,17.0699,9883.5000,6.0176,9.5873,1.1964,1.0996,1.0902
9928.6000,9823.0000,9882.8250,18.4065,9884.0000,4.1082,8.7217,1.0187,0.8215,1.2589
9925.0000,9810.0000,9882.6930,18.4387,9884.5000,6.7499,19.0813,0.5542,0.6539,1.0902
