mean,std,max,min,median,stderr (mean),stderr (std),stderr (max),stderr (mean),stderr (median)
873.5900,13.5837,899.8000,843.2000,874.9000,3.7505,1.0317,7.6678,7.4049,3.5939
935.8200,10.8028,957.8000,911.8000,935.7000,7.7877,1.3629,8.6166,13.4617,8.2225
947.1300,9.9817,965.0000,921.2000,948.0000,8.0911,1.7329,5.5945,10.5400,8.1766
953.2900,10.0679,970.8000,929.2000,954.2000,7.9571,1.3198,9.1517,9.4918,7.1393
956.8050,8.9369,975.4000,934.6000,957.2000,8.8680,1.2749,8.2933,7.9518,8.9049
960.5600,8.3609,978.0000,939.6000,961.0000,7.5177,0.9708,6.4804,9.7836,7.5204
961.9050,7.9955,977.0000,943.2000,962.2000,7.2000,1.1940,7.3134,12.3086,7.3848
962.5500,8.7213,980.2000,941.4000,963.5000,6.3212,0.7928,6.9637,4.2968,6.0701
965.6850,8.3380,981.0000,947.0000,965.6000,6.7031,0.7035,7.3134,6.8663,7.3633
966.5800,9.1503,982.8000,944.4000,967.5000,7.1070,0.7779,6.4005,8.8480,6.6464
966.6100,8.1690,981.8000,946.8000,967.7000,7.5051,1.3413,6.5835,8.7761,7.8276
966.0650,8.0979,981.6000,946.2000,966.4000,7.3762,0.5296,5.9247,7.8717,7.2822
968.0500,8.4413,982.4000,946.6000,968.9000,7.6657,1.1010,6.3132,8.8927,7.2617
968.5950,7.7254,983.2000,948.8000,969.2000,8.8817,1.2690,7.1601,12.5161,8.8435
969.1300,7.9658,983.2000,951.0000,969.1000,7.2481,0.7435,7.5899,6.6910,7.0822
969.6100,8.1752,982.6000,947.2000,970.9000,7.6300,0.6720,7.8768,10.5212,8.0999
969.6700,8.0213,983.0000,948.6000,970.3000,7.8230,0.6613,8.4916,7.8263,7.3915
971.0050,7.7305,983.8000,950.0000,971.3000,8.7282,0.7586,7.4316,10.5325,9.2486
972.0500,7.5028,984.8000,953.4000,972.5000,7.7376,0.8015,4.8511,8.7126,7.3269
970.7750,8.7469,983.4000,947.6000,971.7000,7.1182,0.7455,6.8258,9.5376,7.4582
971.8350,8.0566,984.4000,950.0000,972.4000,8.0007,0.7911,7.2207,12.4781,8.1426
971.7000,8.8358,984.2000,947.2000,972.6000,7.8202,1.1233,5.8167,16.1140,7.4502
972.0400,8.2141,984.8000,949.2000,972.9000,8.8399,2.1208,6.2120,18.0177,7.9581
972.4050,8.0310,984.4000,950.6000,973.6000,8.2820,1.1871,5.5448,10.2387,8.3052
973.1850,8.7741,985.8000,948.4000,975.2000,6.5211,1.1402,4.5127,9.2422,6.7543
971.8800,8.8683,986.0000,944.6000,972.9000,8.0146,1.1380,5.0355,10.3924,7.8263
972.1550,7.6682,986.0000,954.2000,972.5000,6.9537,1.1650,5.0355,8.7081,6.8447
974.0400,8.2253,985.0000,952.8000,976.0000,8.1015,0.7082,6.0701,8.6625,8.1158
974.0400,7.6988,985.8000,954.8000,975.5000,7.9245,0.8415,4.6850,5.7482,8.4095
972.7200,8.5796,986.0000,952.6000,973.2000,6.9318,1.0670,4.6254,8.5055,7.4049
973.5000,8.6933,986.8000,950.0000,975.1000,6.6146,1.2950,4.0008,10.5513,7.7691
974.7000,7.7691,985.8000,955.0000,976.0000,7.2955,1.1416,4.9321,8.5148,8.1523
973.8200,7.6153,986.2000,956.4000,974.4000,8.0522,1.2714,5.6087,9.1344,8.7693
974.7750,7.7706,986.2000,954.4000,976.2000,6.6651,0.7783,4.1466,8.5751,7.3174
975.3600,7.8306,986.6000,955.4000,977.2000,7.9675,1.3685,4.8184,8.5055,7.9281
975.8650,7.4938,986.4000,954.6000,977.5000,6.2823,0.4145,4.6934,6.4682,6.8447
976.3050,8.2202,986.8000,951.4000,977.9000,5.7514,0.4712,4.8918,9.8442,6.7602
975.3700,7.5878,987.2000,954.8000,976.4000,5.3787,1.0246,3.2341,8.9327,5.8490
976.7000,7.2668,987.4000,957.0000,978.2000,5.6666,0.6849,2.7146,6.3257,5.6614
976.2750,8.0800,987.4000,956.8000,978.6000,5.1763,0.5274,3.2463,6.8490,6.0324
976.0000,8.0506,987.0000,950.2000,977.8000,5.3935,1.2699,4.4951,8.5241,5.6789
977.3550,7.7927,987.4000,956.2000,979.5000,5.0854,1.2158,3.2463,8.3599,4.5932
977.3550,6.9601,987.2000,958.2000,978.6000,4.9726,0.5900,3.5828,4.8918,5.7119
978.0500,7.4688,987.4000,960.4000,980.2000,4.5369,1.0261,3.2463,6.6196,4.4352
