mean,std,max,min,median,stderr (mean),stderr (std),stderr (max),stderr (mean),stderr (median)
977.1350,8.3051,987.8000,955.4000,978.8000,4.7426,1.3945,2.9118,7.2754,4.6850
978.3950,7.1754,987.6000,959.2000,980.1000,4.1332,1.2918,3.3068,6.9352,4.2036
977.4100,7.7409,987.6000,956.0000,978.8000,3.9383,0.7112,3.3068,5.5233,4.1705
977.8650,7.6134,987.2000,958.6000,979.9000,3.6413,0.6943,3.2341,7.3566,3.7025
977.7450,7.6718,987.8000,953.8000,979.7000,3.6344,1.1850,2.9118,5.0903,3.6648
978.4250,8.5832,988.0000,949.2000,980.6000,2.8721,0.6852,2.5177,5.7826,2.7328
977.7000,8.1480,987.8000,952.2000,979.4000,3.1776,1.6370,2.3885,6.2438,3.5523
977.2350,8.2246,988.0000,952.6000,979.1000,4.1342,1.6622,2.5177,9.0472,5.1656
978.4150,7.8728,988.0000,956.0000,980.2000,4.4491,1.7822,2.0876,7.9618,4.9622
978.0500,8.7477,987.8000,951.2000,980.9000,3.0958,1.1977,2.4701,5.6789,2.7146
978.9950,7.5098,988.2000,956.4000,981.2000,3.7722,2.0424,2.1252,15.1536,4.0865
978.9750,7.0873,988.2000,959.8000,980.7000,4.4149,1.6282,2.1252,7.2699,4.3790
978.0700,7.4318,987.4000,957.2000,979.9000,4.7341,0.7353,2.7146,6.8490,5.4728
979.6950,6.8135,988.2000,963.4000,981.2000,3.7007,0.9811,2.1252,5.9581,4.5996
978.5050,7.2293,987.4000,958.6000,980.7000,4.0411,1.3827,2.2343,12.3600,4.9321
978.9500,7.4589,988.0000,959.6000,981.1000,3.9309,0.8514,1.9905,5.6859,4.3426
978.7900,7.2186,988.0000,959.6000,981.2000,4.0277,1.3275,2.0876,10.1220,4.1107
978.0100,8.8474,987.8000,950.8000,981.1000,3.6701,0.7473,2.1252,3.9509,4.1082
978.7750,8.2873,988.2000,951.8000,981.5000,3.9789,1.4422,2.1252,8.0213,2.9857
978.3850,7.5090,988.2000,957.8000,979.9000,3.1147,1.8043,2.1252,7.5637,3.1847
978.5500,7.7925,988.2000,959.4000,980.3000,3.2142,1.4398,2.1252,4.6510,2.9118
979.8850,7.3124,988.0000,958.6000,982.1000,2.7276,0.6886,1.9905,4.3426,2.3425
978.9900,7.8068,987.8000,952.8000,981.6000,3.6718,0.8972,2.3885,5.4656,4.0719
978.9000,7.7427,988.2000,956.6000,981.3000,2.9445,1.2961,2.1252,9.1777,3.2948
978.7000,8.2383,988.0000,952.4000,980.8000,3.0720,0.7128,1.9905,6.1221,3.1723
979.0250,7.7227,987.6000,956.4000,981.4000,2.8266,0.9270,2.3212,3.8596,3.7687
978.1250,7.7434,988.2000,957.4000,980.2000,3.5068,1.3438,2.1252,4.1082,3.7051
978.9500,7.8142,987.8000,955.8000,981.3000,2.5351,1.2420,2.0299,7.8465,2.2387
978.8600,7.2417,988.2000,958.2000,980.7000,2.9072,0.5843,2.1252,2.9118,3.3396
979.2200,7.5723,988.0000,956.2000,981.5000,4.0717,1.2719,2.0876,10.7447,4.2458
979.8450,6.8373,988.2000,957.0000,981.9000,2.6118,1.2046,2.1252,4.0304,3.1219
979.3850,7.5507,988.0000,956.4000,981.7000,2.6824,0.9003,2.0876,2.8568,3.0121
978.9050,7.7192,988.0000,955.6000,981.4000,2.5073,0.7339,2.0876,5.8236,2.8394
978.4750,7.5858,987.6000,958.0000,980.7000,3.3058,1.1825,1.9502,6.6315,3.8493
979.5500,6.6608,988.2000,962.0000,981.7000,2.2226,0.5118,2.1252,2.5177,2.6630
978.6700,7.3453,988.2000,959.0000,980.6000,2.8697,0.9820,2.1252,3.8287,2.9422
