mean,std,max,min,median,stderr (mean),stderr (std),stderr (max),stderr (mean),stderr (median)
175.6000,161.8000,172.5800,2.5334,172.8000,0.7962,12.6264,0.7491,1.6198,0.3981
175.2000,163.2000,172.3650,2.0807,172.2000,0.9751,9.4499,0.3638,1.1728,0.3981
175.6000,164.0000,172.6750,2.0909,172.7000,0.7962,8.1341,0.3663,1.1615,0.3981
175.2000,162.2000,172.1150,2.7137,172.3000,0.9751,9.1083,0.8469,1.9153,0.3981
176.0000,160.6000,172.2750,2.6410,172.1000,0.0000,12.2635,0.5721,1.9563,0.1990
175.6000,166.4000,172.6550,1.6554,172.3000,0.7962,8.2933,0.3137,1.0180,0.3981
176.0000,160.4000,172.6050,2.5917,172.4000,0.0000,12.9700,0.3695,1.5717,0.3724
175.6000,157.2000,172.5300,2.8735,172.8000,0.7962,12.5793,0.4471,1.6262,0.3981
175.2000,158.4000,172.3900,2.6705,172.3000,0.9751,13.0462,0.3552,1.7349,0.3981
176.0000,170.8000,173.0100,1.2345,172.7000,0.0000,1.5924,0.1386,0.1619,0.3981
175.6000,164.6000,172.6650,1.8473,172.2000,0.7962,7.6471,0.1784,0.9536,0.3981
175.2000,165.4000,172.5400,1.8492,172.3000,0.9751,13.1370,0.5944,1.8194,0.3981
175.6000,161.0000,172.4400,2.4768,172.3000,0.7962,10.7558,0.5105,1.3496,0.3981
176.0000,168.0000,172.6750,1.5448,172.5000,0.0000,5.2285,0.4094,0.6922,0.4451
175.6000,164.0000,172.5600,2.1245,172.4000,0.7962,9.7715,0.4963,1.4299,0.4876
176.0000,171.0000,172.8850,1.2543,172.4000,0.0000,1.5418,0.1812,0.1585,0.3724
175.6000,167.2000,172.6200,1.5564,172.4000,0.7962,7.7193,0.3253,1.1419,0.4876
175.6000,170.8000,172.8450,1.2218,172.4000,0.7962,1.9298,0.2394,0.1732,0.4876
176.0000,163.8000,172.5950,2.3258,172.6000,0.0000,11.3368,0.7556,1.8473,0.4876
175.6000,167.6000,172.5900,1.4899,172.2000,0.7962,6.9409,0.2353,0.8185,0.2438
176.0000,158.4000,172.3850,3.1795,172.4000,0.0000,17.3249,0.7963,2.4676,0.4876
175.6000,167.6000,172.6550,1.8173,172.4000,0.7962,8.7580,0.5694,1.5849,0.4876
175.6000,168.0000,172.7400,1.4881,172.4000,0.7962,7.9618,0.3311,0.9737,0.4876
175.2000,168.4000,172.4950,1.6083,172.1000,0.9751,7.1656,0.4666,1.4157,0.1990
176.0000,166.6000,172.5950,2.1754,172.8000,0.0000,10.7484,0.8796,2.1270,0.3981
176.0000,166.6000,172.6400,1.9666,172.6000,0.0000,10.7484,0.5254,1.5527,0.4876
175.6000,167.4000,172.9200,1.6856,172.8000,0.7962,9.1561,0.4583,1.1038,0.7448
175.6000,168.0000,172.7850,1.5377,172.4000,0.7962,7.9618,0.2598,1.0467,0.4876
176.0000,168.2000,172.7100,1.6316,172.6000,0.0000,7.5637,0.4795,0.9960,0.3724
175.6000,171.6000,172.8650,1.0891,172.3000,0.7962,0.7962,0.1313,0.1515,0.3981
175.2000,171.8000,172.8500,1.0594,172.2000,0.9751,0.3981,0.1695,0.1608,0.3981
175.6000,171.0000,172.7850,1.1163,172.4000,0.7962,1.9905,0.2540,0.2386,0.4876
176.0000,166.4000,172.6000,1.8859,172.3000,0.0000,11.1465,0.4163,1.6379,0.2438
175.2000,167.6000,172.7000,1.5649,172.4000,0.9751,8.7580,0.3578,1.1399,0.3724
175.6000,165.4000,172.5150,2.0014,172.2000,0.7962,13.1370,0.6086,1.9955,0.3981
176.0000,163.6000,172.8200,2.3368,172.9000,0.0000,16.7198,0.4029,2.2853,0.1990
176.0000,170.2000,172.9150,1.3897,172.6000,0.0000,3.5828,0.2984,0.3541,0.3724
175.6000,171.6000,172.9350,1.1458,172.7000,0.7962,0.7962,0.1699,0.0928,0.3981
174.8000,171.8000,172.7800,0.9445,172.3000,0.9751,0.3981,0.0882,0.1465,0.3981
176.0000,169.0000,172.7100,1.6299,172.2000,0.0000,5.9714,0.3322,0.9055,0.3981
175.6000,170.2000,172.7950,1.3297,172.6000,0.7962,3.5828,0.3555,0.5144,0.4876
175.6000,171.8000,172.9550,1.0537,172.7000,0.7962,0.3981,0.1955,0.1186,0.3981
176.0000,171.2000,172.8350,1.1409,172.6000,0.0000,1.5924,0.1332,0.2184,0.4876
174.8000,171.6000,172.8350,0.9884,172.4000,0.9751,0.7962,0.1284,0.1551,0.4876
