mean,std,max,min,median,stderr (mean),stderr (std),stderr (max),stderr (mean),stderr (median)
166.4000,112.8000,140.7100,12.4548,142.4000,4.0106,5.5376,2.2899,0.8267,1.8459
172.4000,124.8000,155.4650,10.8418,156.7000,2.7146,4.1941,2.3671,1.6879,1.9040
174.0000,136.0000,159.3950,10.8382,162.3000,2.1804,7.6574,4.2321,1.8079,4.4685
173.2000,137.0000,162.3550,9.7158,165.9000,2.7000,6.4498,2.9224,0.6045,4.0597
175.4000,127.8000,164.2750,10.6394,168.7000,1.1943,15.3845,3.5626,1.5186,4.7584
174.6000,140.6000,165.5400,8.9529,169.4000,1.1943,7.4103,4.2840,1.0645,5.1752
175.0000,141.6000,165.5900,8.8150,169.1000,1.2589,6.1221,3.8900,1.4422,5.2888
174.8000,138.4000,166.4700,8.3664,168.9000,0.9751,7.8768,5.0042,1.9826,6.1704
175.2000,147.4000,168.4450,7.1291,170.5000,0.9751,4.2968,2.4553,1.5724,2.9857
175.6000,142.4000,168.0750,7.9598,170.5000,0.7962,7.2754,3.2080,1.6890,4.0057
176.0000,146.6000,169.3850,6.7413,171.4000,0.0000,6.1221,2.3813,1.9870,1.1943
175.6000,144.4000,169.0450,7.3634,171.6000,0.7962,4.8593,2.3377,1.7312,0.7962
176.0000,147.0000,170.6750,5.9003,172.3000,0.0000,12.9456,1.6578,2.9153,0.3981
175.2000,147.4000,171.4100,4.6872,172.1000,0.9751,3.8080,0.3507,0.7761,0.1990
175.2000,148.6000,171.2450,4.7784,172.0000,0.9751,13.2571,1.1050,2.4938,0.0000
176.0000,152.0000,171.2600,4.9593,172.1000,0.0000,7.8364,0.9466,2.0184,0.1990
176.0000,150.6000,171.8100,4.3366,172.2000,0.0000,7.1932,0.5703,1.3894,0.3981
176.0000,156.8000,171.9900,3.5059,172.4000,0.0000,9.6982,0.9751,1.8508,0.4876
175.2000,155.6000,172.1450,3.2719,172.5000,0.9751,6.9123,0.3593,1.1340,0.4451
175.2000,160.4000,172.1650,2.8442,172.3000,0.9751,9.0253,0.5826,1.5879,0.3981
175.6000,159.8000,172.2400,2.7753,172.1000,0.7962,9.5749,0.4230,1.4927,0.1990
175.6000,160.4000,172.3900,2.4139,172.2000,0.7962,8.2933,0.3732,1.0994,0.3981
175.6000,164.0000,172.5000,2.2346,172.4000,0.7962,9.3995,0.6115,1.6591,0.4876
175.6000,160.0000,172.5250,2.5117,172.6000,0.7962,13.0523,0.1934,1.8004,0.4876
176.0000,168.2000,172.7250,1.4875,172.7000,0.0000,6.6136,0.5087,0.7615,0.5971
176.0000,163.0000,172.6400,2.2058,172.4000,0.0000,10.7926,0.3863,1.3734,0.4876
175.6000,159.4000,172.3700,2.8545,172.5000,0.7962,9.7836,0.3351,1.6865,0.3147
175.6000,171.0000,172.8100,1.1012,172.4000,0.7962,0.8902,0.2025,0.1404,0.4876
175.6000,164.0000,172.6000,1.9975,172.5000,0.7962,12.0089,0.5070,1.5831,0.4451
175.2000,164.2000,172.4150,2.0008,172.0000,0.9751,10.0592,0.3098,1.3583,0.0000
175.6000,167.8000,172.6250,1.4875,172.2000,0.7962,6.9637,0.2542,0.8992,0.3981
175.6000,169.8000,172.8150,1.2285,172.4000,0.7962,3.4705,0.2874,0.3120,0.4876
175.6000,163.8000,172.4850,2.0565,172.3000,0.7962,10.2349,0.3552,1.4399,0.3981
176.0000,162.6000,172.4550,2.4454,172.4000,0.0000,10.2966,0.5156,1.5385,0.3724
176.0000,163.2000,172.5900,2.4285,172.7000,0.0000,10.8730,0.5081,1.8253,0.3981
175.6000,166.6000,172.6500,1.5572,172.6000,0.7962,5.5089,0.2021,0.6761,0.4876
