mean,std,max,min,median,stderr (mean),stderr (std),stderr (max),stderr (mean),stderr (median)
9005.8000,8777.8000,8899.7260,41.3585,8899.7000,9.3445,14.5235,5.7309,2.1226,4.6318
9501.0000,9350.8000,9432.8920,28.0824,9435.1000,15.8363,10.6707,10.6351,1.9191,10.2918
9660.2000,9528.6000,9597.0280,25.6267,9598.9000,17.1502,16.7316,9.7961,2.6151,8.7975
9735.2000,9620.6000,9680.7920,22.5316,9681.3000,19.2303,20.4116,10.5641,1.3335,10.7355
9781.0000,9671.8000,9733.6820,21.9047,9734.3000,10.0118,17.2883,9.4704,1.5999,10.0148
9815.0000,9707.4000,9767.7620,19.3404,9768.7000,5.3037,13.8132,6.8608,1.5187,6.7982
9840.6000,9737.8000,9793.5920,18.9212,9795.3000,9.9243,9.9004,5.1164,2.1943,5.4292
9854.6000,9753.8000,9813.0540,18.0515,9813.7000,3.4819,15.4359,4.5069,1.2976,4.5346
9866.2000,9758.6000,9828.1900,18.4824,9829.9000,2.1252,19.1083,3.6757,0.7556,3.2767
9873.0000,9781.4000,9837.3040,17.1825,9838.1000,6.0373,19.9899,2.6403,0.9212,3.3366
9885.2000,9768.4000,9844.5260,19.1669,9846.2000,5.2813,43.7474,1.9650,2.5576,1.6232
9890.6000,9805.8000,9852.8980,16.4801,9854.7000,4.4774,9.2379,1.7261,1.5024,1.3203
9895.8000,9802.8000,9856.5240,16.9030,9858.0000,6.1800,9.8603,1.7954,0.8698,2.0637
9899.4000,9806.8000,9858.8740,17.6516,9859.8000,4.7771,14.9933,2.1727,0.5770,2.1940
9903.2000,9794.8000,9861.6340,17.6981,9862.1000,3.1723,18.4522,1.7785,1.3332,1.6170
9901.8000,9812.2000,9863.0220,17.3462,9864.1000,6.2120,5.9846,2.0054,0.9443,2.7509
9903.0000,9820.4000,9865.5220,16.7714,9865.7000,2.1804,8.4119,1.7424,1.4073,2.0299
9907.0000,9818.4000,9867.4020,16.5985,9868.4000,6.0044,14.2091,1.5577,1.2432,1.3128
9908.6000,9820.6000,9868.2120,16.1206,9868.5000,9.5168,13.0006,2.3668,0.9393,2.3968
9906.6000,9817.0000,9869.6820,16.6578,9870.2000,5.0590,15.6728,0.6558,1.1563,0.9229
9901.8000,9806.4000,9868.0420,18.0222,9868.8000,2.2165,23.7156,1.1610,1.4518,2.0541
9909.8000,9808.4000,9867.4160,17.9940,9869.1000,5.3926,6.8258,1.4337,0.5785,2.0250
9910.8000,9797.6000,9866.4320,19.2185,9868.7000,5.4656,23.9566,0.7966,1.6351,1.1171
9906.0000,9818.0000,9869.7840,17.4779,9870.9000,4.9960,22.0572,1.6227,1.2596,2.9422
9903.0000,9817.2000,9866.8420,17.2939,9868.2000,4.3152,5.4292,1.5951,1.1440,2.5490
9906.4000,9817.6000,9867.5320,17.9914,9869.3000,5.6859,4.0106,1.0829,0.6157,1.3933
9905.6000,9818.0000,9866.0220,17.4760,9866.4000,4.0597,9.0778,1.7763,1.3252,1.9755
9906.0000,9813.6000,9867.5080,17.3747,9868.4000,4.1275,14.8499,2.0148,0.7540,1.6474
9902.4000,9814.2000,9867.5460,16.9164,9868.9000,5.0590,14.2620,0.8469,1.5690,0.7962
9907.4000,9815.0000,9866.4660,18.7570,9867.6000,2.8568,13.4852,0.9483,1.4713,1.8459
9905.2000,9814.0000,9866.2040,17.5737,9867.3000,3.2948,11.9758,1.2510,0.8489,1.5924
9905.2000,9811.2000,9865.5020,17.8416,9866.5000,3.6377,13.2988,2.1142,1.5731,1.7803
9903.2000,9807.4000,9864.6740,18.3781,9866.0000,4.3335,17.1641,0.6641,1.5561,0.7037
9904.2000,9805.6000,9863.7760,18.7685,9865.7000,5.6789,8.2454,1.4824,0.9035,2.0299
9905.4000,9800.2000,9864.6260,19.6406,9866.4000,4.4774,17.6848,1.2275,1.0071,2.2998
9901.6000,9811.0000,9862.8680,17.7962,9863.2000,3.3068,12.9456,1.7428,2.1083,1.1606
9900.2000,9815.6000,9865.0500,16.0197,9866.0000,5.6087,11.4273,1.7987,1.4579,1.0902
9909.2000,9818.8000,9865.5660,17.8214,9866.7000,10.0394,13.3137,2.3431,2.0323,1.0246
9904.2000,9806.0000,9863.5100,18.6242,9864.2000,3.6917,17.9472,2.1595,1.7946,2.6444
9900.2000,9801.2000,9862.8680,18.0777,9865.0000,4.8511,28.2363,2.3011,1.7008,2.5373
9903.4000,9806.6000,9862.9500,18.1290,9865.0000,5.2133,8.5055,2.5423,1.7842,2.3340
9911.4000,9808.6000,9863.6560,19.0540,9864.6000,10.4304,8.8927,1.7132,0.7361,1.3500
9901.4000,9798.8000,9862.2880,18.6527,9864.4000,4.2968,15.1640,1.8125,1.3844,1.7065
9903.4000,9801.6000,9862.8360,18.2329,9863.1000,3.9106,8.2454,2.7646,0.4782,3.1219
9908.8000,9798.0000,9862.2260,19.5650,9863.5000,3.5271,16.9013,2.5298,1.6265,3.2706
9901.0000,9802.2000,9860.3960,19.4935,9861.6000,3.2706,12.5003,0.4584,1.1814,1.1521
9901.6000,9810.0000,9862.0740,18.2343,9863.4000,3.3662,11.6573,1.4060,1.5183,1.9755
9905.4000,9806.6000,9861.2560,18.6030,9862.6000,7.8263,9.1344,1.4691,0.8770,1.4895
9903.4000,9808.6000,9860.0120,18.0343,9861.1000,5.2888,10.4494,1.6603,1.6251,1.8725
9904.2000,9805.4000,9860.1360,18.6070,9861.5000,4.2411,11.3228,1.0513,1.6108,1.3352
9905.6000,9808.0000,9861.1940,18.5021,9862.4000,5.5448,6.2944,1.4702,0.7792,1.9755
9902.0000,9807.6000,9860.3700,18.1466,9860.7000,4.8348,18.5294,1.5055,0.9507,1.3203
9900.8000,9796.2000,9859.1580,19.3640,9860.4000,2.7724,15.9037,2.4352,1.2239,2.2120
9901.4000,9798.6000,9857.9080,19.4461,9859.1000,4.4774,6.6791,1.8217,1.3814,1.9247
9901.8000,9801.4000,9858.4620,19.2035,9859.9000,4.2411,16.2877,3.5981,2.1713,2.7328
9902.6000,9795.0000,9861.0880,19.2584,9863.1000,2.7866,11.1002,0.7276,0.9422,1.7352
9903.8000,9801.6000,9859.4200,18.6418,9860.4000,5.5017,8.2694,1.3383,1.6364,2.3425
9910.6000,9799.8000,9858.5200,20.3719,9859.3000,9.3488,6.4005,1.5792,0.7429,2.1018
9895.6000,9799.0000,9858.3160,18.4799,9859.7000,3.3662,10.7004,0.6903,0.6224,1.9040
9897.8000,9802.2000,9859.9260,17.7418,9861.2000,2.9118,8.2165,2.6767,1.6679,3.5551
9900.4000,9804.0000,9858.5140,18.5891,9859.3000,3.8080,17.2148,1.5831,1.2558,1.7123
9897.4000,9794.2000,9858.1840,18.6214,9859.7000,4.9402,18.5379,2.1079,2.3364,2.3467
9901.2000,9783.6000,9856.5300,21.1136,9858.4000,4.9321,19.0356,0.5513,1.8351,1.6474
9899.4000,9805.4000,9856.8280,18.0935,9857.0000,8.1972,6.4067,2.4123,1.7069,1.6653
9897.4000,9804.0000,9855.5740,18.8552,9856.1000,2.9254,11.0466,0.9153,0.7776,1.6170
9897.8000,9799.0000,9857.4020,18.3960,9857.6000,3.5271,8.3504,1.2466,0.3448,1.3862
9897.6000,9799.8000,9857.6720,19.1035,9858.8000,2.5645,11.8828,1.6966,1.6381,1.5609
9901.4000,9796.6000,9857.0580,17.9113,9857.3000,7.9518,12.8009,2.6769,2.1237,3.6377
9896.4000,9800.4000,9856.5340,18.5916,9857.2000,4.9801,17.5521,1.4654,1.6432,1.3573
9896.6000,9793.0000,9856.4760,19.1067,9858.5000,6.7382,10.1493,1.8952,1.8851,2.4580
9897.0000,9801.4000,9856.5280,18.6502,9856.9000,3.9809,15.7937,1.0252,1.4987,2.4051
9901.8000,9803.6000,9855.6260,19.2965,9856.8000,4.4685,5.8575,2.5009,1.2685,3.3984
9895.0000,9792.0000,9854.2840,19.1636,9855.3000,4.7103,18.7356,0.9359,1.5279,0.8676
9899.8000,9794.2000,9853.6420,19.5482,9854.9000,4.5127,13.3137,2.9795,0.9616,2.0004
9901.6000,9784.6000,9853.8860,20.4288,9856.0000,6.5594,14.3063,0.9461,1.4899,2.0152
9901.2000,9809.0000,9856.0460,18.6066,9856.8000,7.6935,7.1213,1.8264,1.3180,2.4500
9897.2000,9774.4000,9854.2140,20.6561,9856.1000,4.6850,18.2710,1.6100,1.4320,1.5861
9900.2000,9790.0000,9854.7740,19.5816,9854.6000,5.6789,9.8924,2.2463,0.9842,2.5256
9894.8000,9782.4000,9855.0840,20.2983,9857.1000,3.1723,17.0831,1.6353,1.5875,1.5861
9898.2000,9791.6000,9856.0900,19.0279,9857.3000,7.4316,14.7024,1.6662,1.5423,1.8243
