max,min,mean,std,median,stderr (max),stderr (min),stderr (mean),stderr (std),stderr (median)
9926.6000,9833.4000,9886.9810,17.2604,9888.4000,2.7146,8.0262,1.2643,1.3669,1.8459
9927.4000,9820.8000,9886.9950,18.1255,9889.0000,3.4245,29.9124,1.8300,1.4693,1.9144
9930.0000,9821.0000,9887.2320,18.4258,9888.7000,5.1522,10.9926,0.9506,0.5015,1.4627
9928.8000,9827.2000,9886.1520,18.0870,9886.3000,3.2948,12.2603,1.4381,1.2884,2.1713
9928.0000,9823.0000,9887.0290,18.7065,9888.9000,4.3609,6.9808,0.9106,1.0929,1.7352
9928.4000,9830.4000,9886.7270,17.7778,9888.0000,2.9923,5.2888,1.0431,0.6200,1.8079
9929.4000,9814.2000,9886.4480,18.2472,9888.2000,6.1221,11.2843,0.9327,0.6219,0.6750
9927.2000,9824.8000,9887.2810,17.8237,9888.5000,3.2948,8.4775,0.9137,0.5941,0.8902
9926.0000,9824.8000,9886.9350,17.2042,9888.1000,3.9308,12.3247,0.4950,0.8383,1.0626
9933.2000,9828.0000,9886.1080,17.6793,9887.2000,8.4775,11.0824,0.9726,0.8174,0.8085
9929.4000,9833.2000,9886.1970,17.3482,9886.9000,4.8184,10.1766,1.1751,1.1051,1.6772
9928.0000,9821.6000,9884.0650,18.5566,9885.3000,3.1472,10.0828,1.3716,0.8834,1.3203
9929.2000,9831.2000,9885.4630,17.3669,9886.4000,5.6087,7.7959,1.0134,0.4095,1.0149
9928.0000,9821.4000,9886.3060,17.9588,9888.1000,5.1905,7.1932,1.3837,1.0218,1.3500
9930.2000,9820.0000,9885.9500,18.2831,9887.0000,7.7193,6.3881,0.6782,0.9587,1.4075
9930.4000,9822.0000,9884.5300,18.2789,9886.0000,2.8568,8.7217,1.2536,0.8675,1.3718
9927.4000,9826.0000,9884.8630,17.4763,9886.0000,3.3662,11.6912,0.4557,0.6971,1.6653
9933.0000,9818.2000,9886.1560,18.8711,9887.5000,6.1350,11.8662,1.1233,0.8491,0.7709
9929.6000,9821.6000,9884.4190,18.0608,9885.4000,5.6859,15.8313,0.4411,1.1025,0.4876
9930.4000,9805.2000,9884.0010,18.9827,9886.0000,4.7354,4.6850,1.3419,0.5628,2.5952
9922.6000,9824.0000,9884.3240,17.7664,9885.5000,3.8080,3.4476,2.1692,0.6704,2.3551
9927.2000,9820.8000,9885.2130,18.3016,9885.9000,1.7123,10.4266,0.7944,0.5740,1.0149
