mean,std,max,min,median,stderr (mean),stderr (std),stderr (max),stderr (mean),stderr (median)
9849.6000,9749.4000,9806.7050,20.4323,9807.8000,12.1172,12.4080,7.8537,2.0090,7.7449
9841.4000,9758.0000,9806.6150,19.4244,9808.4000,8.8256,19.1435,7.6206,3.1418,6.4605
9847.0000,9759.4000,9806.5600,19.8620,9806.0000,10.6261,11.0931,6.1255,3.1101,6.1350
9845.2000,9753.6000,9806.1100,20.3219,9806.3000,7.2699,10.4304,5.9391,3.0750,6.3461
9852.2000,9763.4000,9807.9200,19.4327,9809.5000,11.9990,7.7244,5.5881,1.4546,6.0945
9847.2000,9764.6000,9807.4100,19.3453,9807.8000,2.7000,6.8258,5.4851,1.0965,7.0415
9848.4000,9739.6000,9806.8550,22.3303,9807.8000,7.7755,24.2525,5.3603,2.5631,5.3834
9843.0000,9763.6000,9807.2250,19.3588,9810.1000,14.5044,11.6675,6.7230,1.4793,4.7874
9850.8000,9759.4000,9806.7350,20.5575,9809.1000,4.2876,5.2133,4.3995,1.2910,5.2133
9843.2000,9745.8000,9806.4350,20.8936,9808.9000,3.0448,17.7965,5.2402,0.3588,5.4000
9845.0000,9761.2000,9807.6050,20.8103,9807.5000,7.8868,9.2379,4.5793,2.1961,4.0057
9844.8000,9751.4000,9806.8850,20.9315,9808.2000,10.9998,14.4578,7.2725,3.5726,6.8200
9850.4000,9750.8000,9807.9400,22.5082,9809.3000,6.9409,12.9211,6.6513,0.9343,6.6880
9850.6000,9761.4000,9806.2950,20.6052,9806.0000,4.4774,13.5526,5.6702,1.4666,7.5204
9847.0000,9757.4000,9808.0400,19.8536,9809.2000,11.8260,13.2571,5.1825,3.4440,6.5609
9849.4000,9759.0000,9807.2200,19.9881,9808.6000,6.1221,20.3960,7.0589,3.6811,8.7975
9846.6000,9747.0000,9804.1450,21.9988,9806.6000,12.8473,11.4516,5.6638,1.4625,5.7292
9852.2000,9757.2000,9807.1300,20.8977,9807.7000,11.0716,15.5637,7.1803,2.5096,7.9156
9848.0000,9753.8000,9808.7200,21.7609,9809.6000,11.2597,19.5166,5.5904,2.3659,4.6510
9845.4000,9768.2000,9806.5450,18.1634,9805.6000,10.1415,11.8828,4.1159,1.4745,1.8725
9853.2000,9753.0000,9806.7700,20.8723,9806.8000,10.3312,7.6832,3.9636,2.9238,4.3221
9855.6000,9760.2000,9806.2700,20.7649,9806.3000,3.3662,18.2254,4.8506,1.6545,5.8929
