max,min,mean,std,median
160.4000,111.4000,141.1500,11.0584,142.9000
166.0000,111.8000,149.8550,10.8358,151.6000
168.0000,127.0000,155.1700,8.8707,156.7000
169.4000,135.2000,157.6250,8.3178,159.6000
169.4000,131.6000,156.3650,9.1849,157.6000
168.8000,137.2000,157.6750,8.0952,159.5000
169.4000,136.2000,157.3050,8.9772,159.3000
169.4000,136.6000,157.4800,8.0157,159.0000
169.6000,134.4000,158.0950,8.0642,159.2000
170.0000,137.0000,157.7050,8.5222,158.7000
170.0000,140.8000,159.3250,7.5820,159.1000
170.0000,139.2000,160.4600,7.4413,160.1000
169.6000,146.2000,160.7850,6.6019,160.9000
170.0000,145.0000,159.7250,6.6892,160.0000
170.4000,145.8000,160.5250,6.5024,161.6000
170.4000,146.2000,160.5050,7.0737,160.9000
170.2000,140.0000,161.1400,6.8859,161.4000
169.8000,145.4000,160.0200,6.7328,160.6000
170.4000,138.2000,160.2050,7.2179,160.8000
170.4000,141.4000,159.5950,7.7027,160.7000
170.6000,139.8000,160.2100,7.2300,160.1000
170.8000,139.0000,159.5350,7.6918,160.8000
170.4000,141.8000,159.3500,8.0147,159.5000
170.8000,141.0000,161.0800,7.2849,163.3000
170.4000,148.6000,162.3800,5.9900,163.4000
170.8000,140.4000,161.6900,7.1890,163.6000
171.0000,143.4000,161.3100,6.7515,162.3000
171.0000,140.8000,161.0750,8.1964,163.1000
170.6000,146.8000,162.4650,5.6793,162.5000
171.0000,146.8000,163.2100,5.5676,164.3000
171.0000,150.0000,163.5200,5.6220,164.7000
170.0000,147.8000,161.6200,5.8609,161.7000
170.2000,145.6000,162.7600,6.0450,164.0000
170.4000,149.4000,162.3600,4.8856,162.4000
171.0000,149.6000,162.9500,5.6448,163.2000
170.8000,151.8000,163.2600,5.1978,164.4000
171.2000,147.8000,163.4200,5.4755,163.9000
170.4000,149.6000,163.9200,5.3185,164.6000
171.8000,154.6000,163.0100,5.5910,163.7000
171.6000,154.6000,163.8700,5.5057,165.4000
171.4000,149.2000,162.7450,6.2456,164.5000
171.8000,152.8000,162.9250,6.0730,163.6000
171.8000,154.2000,163.2650,6.1205,165.0000
171.6000,154.2000,163.3000,5.9447,165.4000
171.8000,153.4000,163.2850,6.2544,165.5000
170.4000,154.2000,163.0700,5.8702,165.0000
171.4000,154.2000,164.4800,5.5064,166.7000
171.8000,153.4000,163.5800,5.9012,166.4000
171.4000,154.2000,162.8550,6.0926,163.7000
171.8000,154.2000,163.9800,5.7915,166.3000
171.8000,153.6000,163.4900,5.7617,165.3000
170.8000,153.6000,163.3800,5.8626,165.0000
171.8000,154.0000,162.8350,6.0970,163.6000
171.4000,149.2000,163.1400,6.4344,165.2000
170.6000,153.6000,162.3350,5.9632,163.4000
170.8000,154.2000,162.6400,5.6498,163.9000
171.8000,154.2000,163.7350,5.9733,166.2000
171.8000,153.8000,164.1400,5.7776,166.7000
171.8000,154.2000,163.4100,5.6772,163.9000
171.8000,154.2000,163.8900,5.7126,166.3000
171.6000,154.2000,162.7450,6.0437,164.6000
171.0000,154.2000,164.0500,5.7178,166.5000
171.8000,154.2000,162.5900,6.1589,164.2000
171.8000,154.2000,163.8950,5.7299,166.1000
171.4000,154.2000,163.1100,5.7173,165.2000
