max,min,mean,std,median
164.4667,133.2667,150.0417,7.3018,150.2000
170.3333,142.8000,158.0850,6.6889,158.7667
172.3333,145.4667,162.4250,6.1911,163.3000
173.3333,152.1333,165.4933,5.3760,166.4667
173.6667,153.3333,167.5017,4.8649,168.8333
174.1333,156.2000,168.9817,4.0664,169.8333
174.1333,156.8667,169.5283,3.5975,170.2000
174.2667,159.8000,170.1250,3.0137,170.3000
174.4667,162.0667,170.3200,2.6014,170.3333
174.3333,161.2000,170.5700,2.5613,170.6000
174.4667,164.3333,170.6033,2.1410,170.4000
174.5333,165.8000,170.8633,2.0464,170.9000
174.3333,165.7333,170.9283,1.9998,170.8667
174.4667,167.6000,171.0800,1.7084,170.8333
174.6667,167.4000,171.2650,1.8943,171.2333
174.6667,167.9333,171.1850,1.7519,170.8667
174.4667,167.9333,171.1833,1.6560,170.7667
174.0667,167.4000,170.9767,1.6679,170.8667
174.5333,168.6000,171.1550,1.5971,170.6333
174.6000,168.4000,171.1500,1.6386,170.7333
174.6000,168.0667,171.1983,1.6591,170.8667
174.6667,168.1333,171.2533,1.6796,170.9667
174.4667,167.6000,171.2150,1.6336,170.8667
174.6000,168.8000,171.2117,1.5866,170.8667
174.6667,167.6667,171.1117,1.7433,170.8000
174.6667,168.6000,171.2583,1.6257,170.7333
174.4667,168.4000,171.2500,1.7022,170.9000
174.3333,168.1333,171.2467,1.5105,170.9333
174.6667,168.0667,171.1050,1.4981,170.6667
174.4667,169.1333,171.2867,1.4915,170.7667
174.6667,168.8000,171.3167,1.5567,170.9000
174.6667,168.4667,171.2133,1.6230,170.8333
174.5333,168.6667,171.1233,1.5772,170.6667
174.4000,168.4000,171.3300,1.5673,170.9667
174.3333,169.1333,171.2017,1.4706,170.7333
174.4667,169.1333,171.2750,1.5257,170.8000
174.1333,168.6000,171.1100,1.4645,170.8000
174.5333,168.4000,171.2283,1.5486,170.9000
174.5333,167.6000,171.1100,1.7088,170.8333
174.4667,168.0000,171.1583,1.6658,170.8667
174.6000,168.6667,171.2400,1.5233,170.8667
174.5333,168.6000,171.1950,1.5670,170.6333
174.6667,169.0000,171.3767,1.5738,170.7000
174.5333,167.9333,171.1000,1.6143,170.7000
174.6667,167.8667,171.3250,1.7056,170.9667
174.3333,167.6000,171.1117,1.7576,170.8000
174.4667,168.5333,171.1500,1.5552,170.9000
174.5333,168.0000,171.1967,1.6173,170.9000
174.6667,167.6667,171.3733,1.7292,171.1333
174.6667,168.3333,171.1950,1.7270,170.7000
174.6667,168.2000,171.3400,1.6081,171.0667
174.6667,167.4667,171.1033,1.6602,170.7333
174.6000,167.8667,171.1750,1.7558,170.8000
174.4667,168.1333,171.0383,1.5338,170.6667
174.6667,168.3333,171.0800,1.5764,170.7667
174.2000,168.2667,171.2667,1.5889,170.8333
174.5333,169.0000,171.2600,1.5570,170.8667
174.6667,167.8667,171.3000,1.7087,170.8333
174.5333,168.3333,171.1967,1.6710,170.9000
174.4667,168.0000,171.1683,1.5532,170.7667
174.4000,168.8000,171.1950,1.5624,170.8333
174.6667,167.8667,171.2783,1.7139,170.8333
174.5333,168.8667,171.1950,1.5331,170.7667
174.2667,167.4667,171.1817,1.6505,170.8667
174.6000,168.4667,171.2233,1.5606,170.8667
174.6000,168.9333,171.2667,1.5730,171.0333
174.5333,167.8667,171.2350,1.7317,170.8333
174.4667,168.2000,171.2683,1.5870,170.8000
174.4667,169.0000,171.2800,1.4956,170.8667
174.5333,168.4000,171.1583,1.6075,170.8333
174.4667,168.4000,171.2133,1.5778,170.6667
174.4000,167.8000,171.1400,1.6108,170.8000
174.5333,167.5333,171.1767,1.6978,170.7000
174.5333,168.5333,171.1650,1.5669,170.8333
174.4000,169.2667,171.2600,1.4283,171.0000
174.5333,167.7333,171.2333,1.6814,170.7000
174.6667,168.6667,171.2700,1.5917,171.0667
174.6667,168.2000,171.1800,1.6553,170.8333
174.4667,169.0667,171.1417,1.5123,170.7667
174.4000,168.1333,171.1900,1.5933,170.9667
174.5333,166.9333,171.1333,1.7735,170.9000
174.2000,169.3333,171.3533,1.4868,170.8333
174.4667,168.6000,171.3417,1.5424,170.8667
174.6000,168.9333,171.3333,1.4603,170.9000
174.3333,168.2667,171.2250,1.5767,170.9333
174.5333,168.0000,171.1667,1.6666,170.9000
174.5333,167.7333,171.1350,1.6774,170.7667
174.4000,167.4667,171.2850,1.7050,171.0667
174.6000,167.4667,171.1633,1.6887,170.8333
174.6667,168.6667,171.3450,1.5614,170.9000
174.4667,169.3333,171.3067,1.5199,170.9000
174.5333,167.1333,171.0183,1.7540,170.7000
174.5333,169.4667,171.3167,1.4559,171.1000
174.6667,168.8000,171.4217,1.6096,171.0333
174.4667,168.2667,171.2583,1.6468,170.8667
174.5333,167.0000,171.3050,1.7273,171.0000
174.6667,167.5333,171.2550,1.6481,171.0667
174.3333,166.9333,171.0517,1.7206,170.6667
174.4667,167.4667,171.1150,1.5939,170.9667
174.6000,168.2667,171.1783,1.6196,170.8333
