max,min,mean,std,median,stderr (max),stderr (min),stderr (mean),stderr (std),stderr (median)
9907.6000,9798.8000,9861.6360,19.6723,9862.7000,2.2343,13.3286,1.1141,0.9879,1.6534
9907.2000,9808.0000,9861.6160,19.0464,9863.1000,4.1466,7.6574,0.8092,1.0252,0.9121
9908.6000,9793.2000,9861.7200,20.2196,9863.8000,3.9106,12.4367,0.9850,1.0149,1.5924
9909.4000,9796.4000,9861.8970,18.5451,9862.8000,8.5520,18.4651,1.6715,0.9108,1.8512
9907.4000,9801.2000,9860.9130,19.7796,9862.0000,4.5650,9.6982,1.7512,0.5696,1.2589
9910.4000,9791.2000,9860.8090,20.0808,9862.7000,2.5645,13.2988,1.4784,0.9290,1.0719
9904.4000,9799.4000,9860.2880,19.3817,9862.0000,4.9801,4.5650,0.8495,0.7532,1.4075
9907.8000,9793.2000,9860.5070,18.7386,9861.7000,3.0448,6.4621,2.1813,0.8245,2.8776
9908.2000,9791.6000,9859.9380,20.2546,9861.3000,3.5271,5.0590,1.4570,1.5613,1.7692
9909.2000,9803.6000,9860.4780,19.9788,9860.9000,6.9066,8.2213,0.8113,0.7153,1.8188
9907.8000,9794.6000,9859.2810,19.3815,9860.4000,6.9352,12.6609,1.3365,1.2558,1.3128
9908.2000,9782.6000,9859.3420,19.9526,9860.3000,5.5733,23.2090,0.6805,1.3231,0.8676
9909.4000,9799.2000,9859.8800,19.4747,9859.8000,3.4819,13.0735,1.2193,0.5596,1.0246
9910.2000,9792.8000,9859.4470,20.4196,9860.7000,3.1723,13.6371,0.3484,0.7678,1.7123
9902.8000,9785.4000,9859.6680,19.8159,9860.4000,3.7975,22.4277,0.8043,0.8458,0.8561
9910.2000,9799.0000,9858.7310,19.5447,9858.8000,5.7137,4.5824,1.9440,0.9641,2.2387
9906.2000,9790.4000,9858.9560,19.6854,9860.4000,2.0299,10.7852,2.2443,0.9511,2.0493
9905.4000,9784.8000,9858.5960,19.5579,9859.4000,4.9801,17.8520,1.3215,0.9561,1.6170
9905.6000,9785.0000,9857.6930,20.9043,9859.6000,4.8184,9.7917,1.9686,0.9705,2.9923
9902.8000,9799.2000,9858.2880,19.8829,9858.9000,3.3544,8.8882,1.4451,0.8435,1.6170
9906.0000,9784.4000,9857.5220,19.7978,9858.4000,5.7344,18.6678,0.3681,0.5556,0.3724
9910.8000,9787.8000,9857.7770,19.6011,9859.3000,7.1877,7.7704,1.2363,0.9819,2.3467
