max,min,mean,std,median
910.5333,833.3333,874.9613,13.8301,875.4667
935.1333,870.4000,905.3760,11.5362,905.8667
945.1333,886.9333,919.1337,10.6851,919.6333
953.8000,900.6667,929.0220,9.6294,929.4667
960.3333,907.8000,936.5350,9.2053,936.9667
963.9333,914.8000,942.5647,8.6512,942.8667
967.8000,923.0667,947.2370,8.2225,947.4333
970.0667,927.4667,951.1680,7.8421,951.4667
972.0000,931.0000,954.6747,7.5644,955.0000
974.1333,935.5333,957.5997,7.4436,957.9333
976.0667,938.4000,959.8953,7.1486,960.3667
977.5333,939.0667,962.0317,7.1188,962.5000
978.4000,943.6000,964.2603,6.6595,964.6333
980.1333,944.5333,966.7067,6.6983,967.3667
980.8667,944.6667,967.8623,6.8286,968.3667
981.6000,948.3333,969.6973,6.5527,970.2000
982.2667,950.3333,971.1737,6.5168,971.8000
982.6667,952.6000,972.9160,6.1948,973.9667
983.2667,953.4000,974.3903,5.9343,975.2667
983.6667,955.5333,975.3167,5.7714,976.5333
984.1333,955.8000,976.1703,5.6853,977.5000
984.4667,955.2000,976.6980,5.4704,977.9333
985.0000,957.2667,977.3723,5.4021,978.6000
985.3333,958.0667,977.9523,5.4115,979.0333
985.4000,957.9333,978.7240,5.1962,980.1000
985.7333,959.6667,979.2037,4.9705,980.5000
986.0667,961.0667,979.5083,4.7824,980.6000
986.2667,959.2000,979.7970,4.8773,980.9000
986.3333,959.5333,980.0637,4.7380,980.9667
986.6000,961.4667,980.3617,4.6058,981.1667
986.6000,962.4000,980.5183,4.3795,981.2333
986.8000,961.6667,980.8177,4.5467,981.4667
986.8000,959.8000,980.9593,4.6550,982.0000
986.8000,961.2000,981.1030,4.5082,982.0333
987.0000,963.0667,981.5730,4.2433,982.2333
987.0667,962.8667,981.9230,4.1498,982.8667
987.0667,963.4667,982.0457,4.1504,983.0000
987.0667,961.8000,981.9947,4.0364,982.7333
987.0667,962.3333,982.1207,3.9035,982.6667
987.0667,962.8667,982.1293,3.8357,982.6000
987.0667,963.5333,982.1907,3.8784,982.7667
987.0667,964.2000,982.0600,3.8199,982.3333
987.0667,964.1333,982.0697,3.8325,982.5333
987.1333,963.2000,981.9480,3.8034,982.3333
987.2000,966.1333,981.9913,3.7310,982.3333
987.2000,962.8000,982.0567,3.9205,982.6000
987.2000,961.5333,982.1843,3.9112,982.7667
987.2667,963.4667,982.2190,3.8555,982.6667
987.2667,965.7333,982.2513,3.7484,982.5667
987.2000,963.8000,982.2037,3.7407,982.4667
987.2000,964.2667,982.1367,3.8467,982.5333
987.2667,966.5333,982.1890,3.7560,982.5000
987.2667,964.4000,982.0067,3.8457,982.3000
987.2667,965.4000,982.0277,3.6193,982.4000
987.3333,964.8667,982.0317,3.7361,982.3000
987.3333,962.8667,982.0657,3.8657,982.6333
987.2667,966.1333,982.2813,3.5823,982.7000
987.3333,964.0000,982.3853,3.7047,982.8667
987.3333,965.9333,982.3423,3.5355,982.8000
987.3333,965.0667,982.3580,3.6292,982.8000
987.3333,964.8667,982.3997,3.5273,982.9333
987.3333,963.8667,982.3753,3.6540,982.8333
987.3333,965.0667,982.5050,3.5264,983.0000
987.3333,966.5333,982.5217,3.5395,982.9667
987.3333,963.4000,982.4100,3.6703,982.9000
987.3333,963.7333,982.4693,3.6415,982.8333
