max,min,mean,std,median
903.8000,842.2000,872.7480,13.3890,872.7000
921.0000,868.6000,896.8120,12.5087,896.3000
929.8000,874.8000,905.1200,11.8090,905.6000
939.4000,887.0000,913.4200,11.0853,912.6000
942.4000,896.4000,918.5280,10.6067,919.2000
947.6000,897.2000,924.2920,10.7852,925.1000
950.6000,902.2000,927.9200,10.5757,929.2000
952.6000,906.8000,931.9520,10.0590,932.7000
953.6000,910.4000,934.0280,9.9581,933.8000
954.4000,910.6000,936.1080,9.3288,936.8000
958.2000,915.0000,938.1720,9.4199,937.6000
958.0000,911.6000,940.4680,9.0430,941.5000
963.2000,921.8000,941.7400,9.3180,942.3000
963.4000,920.2000,943.1720,9.3475,943.5000
966.0000,924.0000,946.6520,8.9676,947.1000
962.4000,926.0000,947.0080,8.6651,947.9000
966.0000,926.6000,948.9600,8.5906,949.7000
968.2000,929.6000,949.7960,8.4205,949.9000
968.6000,924.6000,951.4720,9.0663,952.3000
968.2000,932.4000,952.6600,7.6098,952.8000
972.2000,929.8000,953.3960,8.5955,953.9000
971.2000,936.4000,953.9000,7.8871,954.1000
971.2000,938.0000,955.9560,7.7593,956.4000
972.0000,934.8000,956.1320,8.1100,957.5000
973.0000,939.4000,956.8840,7.6327,957.4000
971.8000,938.2000,957.8880,7.5271,958.4000
974.2000,939.6000,958.4240,7.8728,959.5000
975.6000,942.2000,959.5240,7.7636,959.4000
974.4000,939.6000,960.8240,7.4150,961.3000
975.6000,938.8000,961.9240,8.0933,962.9000
975.6000,940.8000,961.9400,8.1149,962.8000
977.2000,938.4000,963.8120,8.0001,964.6000
977.4000,946.8000,964.4280,7.4872,965.3000
978.4000,944.0000,964.2600,7.8634,965.1000
978.6000,947.4000,965.6360,7.3282,966.2000
979.6000,947.4000,966.6320,7.1006,966.9000
978.6000,948.2000,966.9400,7.4225,967.7000
980.8000,946.6000,967.7280,7.5032,968.3000
979.8000,951.0000,967.9520,6.6216,968.0000
980.6000,951.0000,968.6400,6.9021,969.7000
980.6000,943.6000,969.7480,7.1941,971.0000
980.8000,941.8000,969.3360,8.0381,970.3000
980.0000,952.2000,969.8720,6.7244,971.1000
982.0000,954.6000,971.5880,6.1112,972.1000
981.4000,953.4000,971.8080,6.6708,973.0000
982.2000,955.2000,972.5000,6.1704,973.3000
981.8000,953.2000,972.4680,6.3651,973.5000
982.0000,952.8000,973.0320,6.6679,974.6000
982.6000,955.6000,973.1000,6.0228,974.2000
982.8000,951.0000,973.2960,6.7308,974.1000
983.2000,957.4000,973.9200,6.2798,974.7000
982.8000,957.2000,974.0240,5.6895,974.7000
982.8000,959.4000,973.8920,6.0352,975.4000
982.2000,953.8000,972.9480,6.6498,974.3000
983.2000,959.2000,974.2480,5.7027,974.6000
983.4000,952.8000,974.1200,6.4749,975.5000
983.4000,953.4000,973.6760,7.0129,975.0000
983.2000,953.8000,974.5680,6.9409,975.8000
983.2000,958.2000,974.3320,6.2759,975.4000
983.4000,958.6000,974.1760,6.4897,975.3000
983.2000,954.8000,974.6440,6.6605,976.0000
983.6000,959.2000,975.2760,5.9348,976.5000
983.2000,957.0000,974.5640,6.1965,976.1000
984.0000,960.8000,975.2880,5.9595,975.7000
983.6000,960.8000,975.4520,5.5403,976.8000
984.0000,957.4000,975.3240,6.7705,977.1000
984.2000,956.6000,975.5600,6.4226,976.5000
984.0000,959.2000,976.2640,5.8576,977.3000
984.0000,963.6000,976.6680,5.3437,977.9000
984.4000,962.4000,977.0800,5.3515,977.9000
984.4000,958.4000,977.2960,5.9764,978.5000
984.6000,960.0000,976.8800,5.7502,978.0000
984.4000,961.4000,976.1440,5.9167,976.8000
984.2000,959.2000,976.6600,6.5237,978.1000
984.6000,960.8000,976.9600,6.2045,978.3000
984.6000,958.8000,976.6760,6.1772,977.8000
984.2000,963.8000,977.5400,5.2685,979.1000
984.6000,961.0000,977.5200,5.5995,978.6000
984.4000,960.6000,977.8120,5.5403,979.1000
984.6000,962.6000,977.8520,5.1876,978.8000
984.4000,957.0000,977.6520,6.0888,979.1000
984.6000,960.0000,977.2080,5.9828,978.3000
984.6000,959.8000,977.6000,5.3733,978.6000
984.6000,960.4000,977.5760,5.3983,978.6000
984.6000,960.2000,977.2120,5.7056,977.5000
984.6000,959.8000,976.7680,6.4711,977.8000
984.2000,958.2000,976.5120,6.0583,977.3000
984.4000,954.6000,976.6440,6.6999,977.5000
984.6000,960.2000,977.0920,5.7214,978.3000
984.6000,964.4000,977.8840,4.9745,978.1000
984.6000,963.6000,977.4040,5.1874,978.0000
984.6000,959.4000,977.2160,5.6850,977.7000
984.2000,960.2000,976.8800,5.7113,977.8000
984.6000,960.6000,977.6160,5.5329,977.8000
984.6000,962.8000,977.0760,5.5944,977.4000
984.6000,960.4000,976.7080,5.6521,977.4000
984.6000,962.2000,977.2520,5.5786,978.3000
984.4000,961.4000,976.8920,5.3568,977.3000
984.6000,961.4000,977.6320,5.2391,978.2000
984.4000,962.0000,976.9400,5.2338,977.0000
