max,min,mean,std,median
160.6667,138.2667,149.9467,6.8671,150.5333
165.6000,147.6667,156.4733,5.4986,156.8667
166.2000,149.6000,158.6933,5.1931,159.2667
168.4000,152.3333,161.0667,5.1819,161.9667
169.8000,156.0667,163.2733,4.3010,163.3667
170.8000,156.0667,164.4467,4.5130,164.7000
171.2667,158.2000,165.4267,4.1840,165.5667
171.2000,160.2000,166.7333,3.4438,167.1333
171.3333,158.3333,166.6133,4.2174,167.6667
171.4667,161.0667,166.7133,3.2330,166.7000
170.8667,160.4667,166.2800,3.1031,166.1000
172.1333,160.9333,166.9133,3.3591,166.7667
171.6667,160.2000,166.8800,3.6193,167.0000
172.4000,163.2667,168.0667,3.0931,167.8000
171.7333,164.2000,167.7467,2.4682,167.5667
172.5333,163.6000,168.0333,2.8127,167.8000
172.4667,164.1333,168.3067,2.8227,168.5000
171.8000,164.0000,168.0733,2.5921,167.7000
172.4667,164.4000,168.2867,2.6979,168.2667
172.4667,163.0000,168.2067,2.9458,168.1667
172.4000,164.1333,168.0533,2.9841,167.9333
172.9333,164.6000,168.8800,2.4691,168.7333
172.5333,164.8000,169.3333,2.4050,169.7667
172.4667,164.9333,168.9533,2.3521,169.1000
172.5333,165.0667,168.9600,2.3999,168.8000
172.5333,166.5333,169.3267,2.0115,168.9667
173.2000,166.6667,169.4800,2.0946,169.3333
172.2000,166.6000,169.2200,1.9265,169.2333
173.0667,165.2667,168.9000,2.2901,168.5667
172.5333,166.6000,169.3733,1.9349,169.2000
172.6000,166.8667,169.4133,1.8537,169.2667
172.4667,167.2667,169.2200,1.7100,168.8000
172.6000,166.8667,169.2800,1.7279,168.9000
173.2000,165.1333,168.7400,2.3882,168.3667
172.5333,165.8667,169.0067,2.0430,168.8333
171.8000,166.6667,169.0533,1.6934,169.0000
172.0667,166.8667,169.5667,1.7271,169.5667
172.4667,165.2667,168.9467,2.2678,169.1333
172.6667,166.4000,169.4333,2.2434,169.5667
172.2667,166.4000,169.2400,1.9447,169.1000
173.3333,166.3333,169.3000,2.2261,169.1333
173.2000,165.9333,169.1933,2.2280,168.9333
172.3333,165.4667,169.0133,2.1324,169.0000
172.6667,165.8667,168.7800,2.3363,168.5333
172.1333,166.5333,169.0533,1.6912,168.9000
172.4667,166.3333,169.0267,1.9196,168.6667
172.8667,166.2667,169.3667,2.1059,169.1667
172.4667,166.8000,169.2800,1.9382,168.8667
172.3333,166.8667,169.5267,1.9883,169.6000
172.6667,166.5333,169.1733,2.0222,168.7000
172.7333,165.1333,169.1200,2.3884,169.0667
172.4667,167.2667,169.2733,1.7122,169.0000
173.0000,165.9333,169.4533,2.3380,169.3667
172.8667,166.3333,169.2933,2.1367,169.0000
172.8667,167.1333,169.5267,1.9551,169.0667
172.2667,166.0667,169.1933,2.0660,169.1333
172.8667,166.7333,169.5400,2.0730,169.4000
172.4000,165.8667,169.2000,2.2706,169.3333
173.0667,166.2667,169.3333,2.1781,168.9333
172.8000,166.4000,169.1400,2.2347,169.0000
172.8667,166.3333,169.0800,2.1005,168.8333
172.8667,166.6667,169.6000,1.9591,169.5000
172.8000,166.3333,169.3067,2.1173,168.8000
