max,min,mean,std,median
164.4000,107.0000,141.4950,11.2819,142.2000
168.8000,120.6000,150.1750,10.4274,152.0000
170.6000,120.6000,154.4250,11.5484,156.3000
172.2000,117.4000,156.2400,11.9605,158.0000
172.6000,132.8000,159.2800,9.6791,160.3000
173.4000,133.6000,161.4750,9.2749,164.2000
174.2000,131.6000,162.1650,9.6440,165.6000
173.4000,136.4000,162.3250,9.2336,165.2000
174.0000,133.2000,162.3800,9.9965,166.2000
174.6000,131.4000,163.3050,9.5824,165.3000
174.6000,140.8000,164.9600,8.6392,167.3000
175.0000,140.2000,165.2450,8.9049,168.1000
174.8000,141.8000,167.1600,8.0231,169.5000
174.6000,144.2000,166.3850,7.9531,168.6000
175.2000,139.8000,167.8450,7.7556,170.3000
174.8000,144.0000,168.4200,7.3498,171.5000
174.6000,134.2000,168.2050,8.5623,170.9000
175.6000,144.0000,169.3700,7.1363,172.0000
175.8000,140.4000,169.1800,8.2640,171.8000
175.4000,146.2000,170.6650,5.8077,171.8000
175.4000,146.8000,170.4300,5.8146,172.2000
175.8000,148.6000,171.0800,5.3630,172.0000
175.6000,151.0000,171.2500,4.4100,171.8000
175.0000,149.8000,170.9650,5.3294,171.8000
175.8000,159.4000,172.1700,2.7917,172.2000
175.0000,152.2000,171.9500,3.8591,171.9000
175.4000,158.4000,171.8050,3.5162,172.2000
175.2000,156.2000,172.0850,3.0052,172.1000
175.8000,156.2000,171.5400,3.7099,172.2000
175.4000,149.8000,171.4500,5.0555,172.0000
175.0000,163.2000,172.2550,2.2962,172.4000
175.0000,163.8000,172.4700,1.9828,172.3000
175.8000,162.2000,172.3500,2.2239,172.0000
175.8000,165.0000,172.3300,2.4426,172.5000
175.6000,168.2000,172.5850,1.4636,172.4000
175.4000,159.4000,172.3250,2.5346,172.2000
175.4000,158.6000,172.2650,2.8870,172.2000
175.8000,167.6000,172.6900,1.6534,172.4000
175.4000,168.2000,172.5700,1.4043,172.3000
175.0000,167.6000,172.4800,1.4821,172.0000
175.8000,166.6000,172.6950,1.7344,172.6000
175.8000,161.8000,172.2200,2.5841,172.0000
175.8000,167.6000,172.6800,1.6743,172.4000
175.8000,170.8000,172.7800,1.3080,172.5000
175.4000,165.4000,172.4600,1.7793,172.4000
175.4000,171.6000,172.6000,1.0686,172.1000
175.4000,171.0000,172.6750,1.1182,172.4000
175.8000,171.2000,172.7700,1.1753,172.2000
175.4000,166.2000,172.4400,1.8125,172.0000
175.4000,162.2000,172.3700,2.2769,172.0000
175.4000,165.6000,172.5000,1.7194,172.4000
175.8000,167.2000,172.7600,1.7265,172.6000
175.4000,171.8000,172.6850,1.0720,172.1000
175.4000,168.2000,172.6550,1.4589,172.2000
175.4000,171.8000,172.6500,1.0472,172.0000
175.8000,171.8000,172.7600,1.1929,172.1000
175.8000,171.8000,172.8300,1.1425,172.6000
175.8000,166.2000,172.5250,1.6851,171.8000
175.0000,171.8000,172.6100,0.9866,172.1000
175.8000,169.6000,172.7450,1.3954,172.4000
175.8000,171.8000,172.8450,1.2224,172.4000
175.8000,171.8000,172.8150,1.1954,172.4000
175.4000,171.8000,172.5900,1.0018,172.0000
175.4000,171.8000,172.7050,1.0703,172.4000
175.8000,171.8000,172.8150,1.1432,172.6000
175.8000,171.8000,172.7250,1.2062,172.2000
175.8000,171.8000,172.7250,1.1361,172.1000
175.4000,171.8000,172.7350,1.0956,172.2000
175.2000,171.8000,172.7450,1.0188,172.4000
175.8000,171.8000,172.7450,1.1389,172.2000
175.8000,171.8000,172.6900,1.0219,172.4000
175.0000,171.8000,172.6850,1.0489,172.2000
175.8000,171.8000,172.6450,1.0754,172.0000
175.4000,171.8000,172.6850,1.0548,172.3000
175.4000,171.8000,172.6700,1.0481,172.2000
175.4000,171.8000,172.6950,1.0310,172.2000
174.6000,171.8000,172.6450,0.9771,172.2000
175.8000,171.8000,172.6800,1.0635,172.2000
175.8000,171.8000,172.6550,1.0678,172.2000
175.8000,171.8000,172.7750,1.1516,172.4000
175.4000,171.8000,172.6650,1.0642,172.1000
175.0000,171.8000,172.6800,1.0785,172.1000
175.4000,171.8000,172.6450,1.0373,172.2000
175.4000,171.8000,172.6600,1.0987,172.3000
175.0000,171.8000,172.7700,1.0842,172.3000
175.4000,171.8000,172.6300,1.0466,172.0000
175.2000,171.8000,172.8350,1.0678,172.5000
175.8000,171.8000,172.7300,1.0774,172.5000
175.4000,171.8000,172.6900,1.0625,172.2000
175.8000,171.8000,172.7800,1.1150,172.6000
175.8000,171.8000,172.7500,1.1626,172.0000
175.4000,171.8000,172.6650,1.0581,172.1000
175.8000,171.8000,172.7150,1.1566,172.2000
175.0000,171.8000,172.7100,1.0471,172.1000
175.8000,171.8000,172.7100,1.0472,172.2000
175.4000,171.8000,172.6650,1.0436,172.1000
175.4000,171.8000,172.6250,1.0291,172.1000
175.8000,171.8000,172.8800,1.1574,172.6000
175.8000,171.8000,172.7950,1.2190,172.0000
175.8000,171.8000,172.8150,1.1026,172.5000
175.8000,171.8000,172.6400,1.0800,172.1000
175.8000,171.8000,172.7200,1.0713,172.2000
175.4000,171.8000,172.7100,1.0685,172.3000
175.8000,171.8000,172.7600,1.1427,172.3000
175.0000,171.8000,172.6000,1.0182,172.0000
175.8000,171.8000,172.6150,1.0534,172.4000
175.4000,171.8000,172.6850,1.0085,172.3000
175.4000,171.8000,172.6900,1.0995,172.2000
175.4000,171.8000,172.7700,1.1020,172.5000
175.8000,171.8000,172.7300,1.1434,172.3000
175.8000,171.8000,172.7800,1.1912,172.3000
175.8000,171.8000,172.8650,1.1367,172.6000
175.8000,171.8000,172.6950,1.0967,172.3000
175.4000,171.8000,172.6850,1.0222,172.3000
175.2000,171.8000,172.6500,1.0956,172.0000
175.4000,171.8000,172.6750,0.9766,172.3000
175.4000,171.8000,172.7050,1.0687,172.4000
175.4000,171.8000,172.6500,1.0411,172.3000
175.8000,171.8000,172.7550,1.1054,172.4000
175.8000,171.8000,172.7450,1.1280,172.5000
175.4000,171.8000,172.6000,1.0202,172.1000
175.4000,171.8000,172.6850,1.1171,172.3000
175.8000,171.8000,172.7050,1.1582,172.2000
175.8000,171.8000,172.6450,1.0945,172.0000
175.8000,171.8000,172.8400,1.2162,172.4000
175.4000,171.8000,172.7200,1.0851,172.3000
175.4000,171.8000,172.7950,1.1048,172.5000
175.8000,171.8000,172.6350,1.0619,172.2000
175.6000,171.8000,172.7250,1.1589,172.1000
175.4000,171.8000,172.7850,1.1184,172.5000
175.8000,171.8000,172.7250,1.0842,172.5000
175.0000,171.8000,172.6050,0.9814,172.0000
175.8000,171.8000,172.7000,1.1116,172.2000
175.8000,171.8000,172.8200,1.0954,172.6000
175.8000,171.8000,172.8900,1.1958,172.6000
175.6000,171.8000,172.7800,1.0584,172.6000
175.8000,171.8000,172.7350,1.0885,172.5000
175.0000,171.8000,172.7100,1.1091,172.3000
175.8000,171.8000,172.7550,1.0744,172.4000
175.8000,171.8000,172.8500,1.1528,172.8000
175.8000,171.8000,172.6550,1.0693,172.1000
175.8000,171.8000,172.8000,1.1554,172.4000
175.4000,171.8000,172.6600,1.0764,172.1000
175.4000,171.8000,172.6850,1.1178,172.1000
175.6000,171.8000,172.6950,1.1556,172.0000
175.6000,171.8000,172.5700,1.0756,171.9000
174.8000,171.8000,172.6050,0.9276,172.2000
175.4000,171.8000,172.6650,1.0662,172.0000
175.4000,171.8000,172.8700,1.1841,172.5000
175.4000,171.8000,172.6050,1.1183,171.8000
175.8000,171.8000,172.6600,1.0392,172.3000
175.6000,171.8000,172.7150,1.0596,172.4000
175.8000,171.8000,172.7500,1.0829,172.4000
175.8000,171.8000,172.7100,1.1893,171.9000
175.8000,171.8000,172.6700,1.1200,172.1000
175.8000,171.8000,172.7550,1.1080,172.3000
175.8000,171.8000,172.7400,1.1647,172.2000
175.8000,171.8000,172.8400,1.1749,172.4000
175.8000,171.8000,172.7250,1.1772,172.2000
175.8000,171.8000,172.7000,1.0978,172.0000
175.4000,171.8000,172.6300,1.0304,172.2000
175.8000,171.8000,172.7800,1.1477,172.3000
175.4000,171.8000,172.7150,1.0791,172.3000
175.4000,171.8000,172.7650,1.1034,172.4000
175.4000,171.8000,172.7150,1.0647,172.4000
175.2000,171.8000,172.6550,1.0906,172.1000
174.6000,171.8000,172.6450,1.0093,172.0000
175.4000,171.8000,172.6400,1.0697,172.1000
175.8000,171.8000,172.8350,1.1895,172.5000
175.8000,171.8000,172.7150,1.0399,172.4000
175.8000,171.8000,172.7150,1.1338,172.2000
175.8000,171.8000,172.8650,1.2567,172.3000
175.4000,171.8000,172.7650,1.1228,172.5000
175.8000,171.8000,172.7150,1.1607,172.0000
175.8000,171.8000,172.8450,1.1115,172.5000
175.4000,171.8000,172.7600,1.0596,172.4000
175.2000,171.8000,172.5250,0.9021,172.0000
175.4000,171.8000,172.6450,1.0278,172.0000
175.4000,171.8000,172.7400,1.0493,172.2000
175.8000,171.8000,172.7850,1.1611,172.2000
175.8000,171.8000,172.6300,1.0557,171.8000
175.8000,171.8000,172.6150,1.0950,172.0000
175.6000,171.8000,172.7050,1.0842,172.2000
175.8000,171.8000,172.7550,1.0383,172.6000
175.4000,171.8000,172.7550,1.1287,172.3000
175.6000,171.8000,172.7050,1.0968,172.4000
175.8000,171.8000,172.8050,1.2000,172.2000
175.8000,171.8000,172.6800,1.0964,172.2000
175.4000,171.8000,172.8100,1.0896,172.6000
175.8000,171.8000,172.6550,1.0648,172.3000
175.8000,171.8000,172.6600,1.0870,172.1000
175.8000,171.8000,172.7150,1.1087,172.3000
175.4000,171.8000,172.6400,1.0203,172.1000
175.8000,171.8000,172.7450,1.1424,172.2000
175.4000,171.8000,172.7250,1.1147,172.4000
175.4000,171.8000,172.6500,0.9939,172.4000
175.8000,171.8000,172.6300,1.0737,172.2000
175.8000,171.8000,172.7450,1.0825,172.3000
175.8000,171.8000,172.7200,1.1147,172.3000
175.6000,171.8000,172.6450,1.0796,172.2000
