max,min,mean,std,median
905.6000,845.2000,873.3280,13.3549,873.0000
928.2000,875.0000,901.8440,11.3086,902.9000
938.8000,890.4000,915.5440,11.4384,915.4000
947.0000,897.4000,923.9680,10.3125,924.2000
952.4000,906.2000,931.6440,9.7572,932.1000
957.2000,916.0000,936.5000,9.1114,936.7000
958.2000,920.4000,940.9160,8.4844,940.8000
961.4000,920.0000,943.8760,8.2503,944.1000
961.8000,928.6000,947.4080,7.3955,948.2000
965.2000,931.6000,950.0680,7.3166,950.6000
969.0000,931.0000,951.9040,7.6616,951.8000
968.8000,933.4000,954.3640,8.0364,954.8000
970.2000,937.2000,957.7680,7.5500,957.8000
970.4000,940.2000,958.8760,7.3269,959.1000
971.6000,936.6000,959.7480,7.7083,960.8000
972.4000,939.8000,961.2600,7.0018,961.9000
973.4000,940.6000,962.9080,6.9178,963.6000
973.8000,944.2000,963.7960,6.6318,965.1000
973.6000,944.0000,964.2040,6.6714,965.0000
974.0000,938.6000,964.9040,7.1594,966.2000
974.6000,944.6000,965.4080,7.0419,966.8000
974.8000,944.4000,965.9920,6.9091,967.9000
974.6000,949.4000,966.4880,6.1036,967.6000
975.0000,949.2000,966.7520,5.7001,968.2000
975.4000,952.6000,967.0800,5.5428,968.3000
975.4000,948.0000,968.2600,5.8052,969.6000
975.6000,953.0000,968.6600,5.3823,970.3000
976.0000,955.2000,968.2200,5.1104,969.4000
975.8000,953.4000,968.8000,5.2876,970.1000
976.2000,948.4000,969.1760,5.1714,970.4000
976.0000,953.8000,969.0200,5.0409,969.6000
976.2000,945.0000,968.8240,6.1892,969.8000
976.6000,952.6000,969.2720,4.8880,969.9000
976.6000,955.0000,969.2480,4.8878,970.0000
976.4000,956.6000,969.8480,4.3315,970.3000
976.4000,950.0000,969.7520,5.0575,970.6000
976.4000,950.8000,969.9840,5.1356,970.8000
976.4000,950.8000,969.9520,5.4434,970.8000
976.2000,952.6000,969.9080,4.8969,970.6000
977.2000,951.2000,970.1200,5.3463,971.3000
977.0000,951.4000,969.1440,5.7606,970.6000
976.8000,951.4000,969.1680,5.1577,970.0000
977.6000,950.8000,969.2240,6.0541,970.0000
978.0000,950.4000,970.2880,5.5262,971.3000
977.2000,953.4000,969.9720,5.6360,971.3000
977.6000,946.4000,969.6440,6.4803,970.8000
977.8000,954.0000,969.3960,5.3810,969.5000
977.8000,955.8000,969.8560,4.9850,970.4000
977.6000,949.8000,969.0000,6.2121,970.2000
977.6000,944.6000,970.5280,6.1894,971.8000
977.4000,947.0000,969.9720,6.0381,971.4000
978.0000,954.2000,970.2240,5.3726,971.2000
977.6000,946.8000,970.4400,6.0272,971.7000
977.6000,955.6000,970.7080,5.4065,972.3000
978.0000,957.6000,971.5600,4.4670,972.1000
977.8000,947.6000,971.2240,5.6283,971.9000
978.2000,951.4000,971.9560,4.9035,972.4000
978.4000,947.2000,970.5440,6.2388,971.5000
978.4000,954.4000,971.7400,4.8366,972.2000
977.6000,954.8000,970.8000,4.7877,971.0000
977.8000,957.8000,971.2920,4.2408,971.7000
977.6000,958.2000,971.1840,4.6079,971.8000
978.2000,950.2000,970.9120,5.6515,971.8000
978.2000,936.8000,971.0840,6.5187,971.6000
978.2000,957.6000,971.3360,4.4671,971.5000
978.6000,953.0000,971.2040,5.1517,971.6000
977.8000,961.2000,971.1360,4.3410,971.3000
978.0000,959.0000,971.5880,4.1097,971.9000
978.2000,953.6000,970.8800,5.0232,971.3000
978.2000,955.2000,970.8400,5.2826,971.6000
978.4000,955.0000,971.3200,4.7744,971.6000
977.8000,954.6000,971.1720,4.9911,972.2000
978.0000,950.2000,970.7120,5.4015,971.5000
978.0000,959.4000,971.5640,4.1848,971.9000
978.4000,956.6000,971.4280,4.6255,971.7000
978.4000,955.4000,971.2600,4.9606,971.7000
978.2000,956.0000,971.4920,4.3236,971.9000
978.2000,953.8000,971.1840,4.7570,971.8000
978.0000,952.2000,971.2560,5.7286,972.5000
978.2000,947.6000,971.1840,5.7604,972.0000
978.6000,949.4000,971.0240,5.4023,971.9000
978.6000,939.6000,970.4560,6.9032,971.3000
978.6000,952.2000,971.4720,5.6716,972.5000
978.8000,954.8000,971.4800,4.9930,972.1000
978.2000,952.6000,970.8120,5.6000,971.9000
978.4000,952.8000,971.1560,5.2921,971.6000
978.8000,959.4000,971.1200,4.7863,971.7000
978.6000,950.2000,970.7560,5.8118,971.9000
978.8000,960.6000,971.1320,5.0541,971.7000
979.2000,953.2000,971.7920,5.0841,972.3000
978.6000,956.2000,970.8960,5.4772,971.9000
979.0000,950.6000,971.7880,5.5972,972.5000
978.6000,953.0000,971.3840,5.4951,972.9000
978.8000,957.2000,971.8960,4.9451,972.8000
979.0000,958.4000,972.1640,5.0820,973.4000
978.8000,958.4000,972.0640,4.8874,973.1000
979.2000,953.8000,971.4080,6.3833,972.5000
979.0000,958.2000,972.2920,4.8892,973.0000
979.4000,953.0000,972.4320,5.3123,973.7000
978.8000,953.4000,971.5960,5.4650,972.7000
