max,min,mean,std,median
903.8000,842.2000,872.7480,13.3890,872.7000
927.4000,868.2000,901.5680,12.1003,901.6000
938.4000,894.6000,913.8640,10.5534,913.6000
947.0000,900.2000,923.1200,10.6597,923.8000
952.8000,909.4000,932.7800,9.6751,934.2000
957.0000,913.8000,937.9040,9.2941,938.0000
958.8000,919.0000,942.2240,8.9208,942.9000
964.0000,928.0000,944.5800,8.1556,944.8000
964.8000,931.2000,947.9560,8.4607,947.8000
967.6000,930.8000,951.4400,8.0059,952.0000
970.2000,936.8000,953.6280,7.6977,953.9000
972.6000,934.2000,956.9000,7.9065,957.8000
972.6000,937.2000,957.6760,7.3633,958.3000
974.4000,943.2000,960.7240,7.4146,960.6000
974.2000,941.0000,961.9440,7.5276,963.5000
976.2000,945.4000,963.3840,7.1408,963.8000
976.4000,944.2000,964.1120,7.7079,964.5000
977.0000,944.0000,965.4240,7.4933,966.3000
977.2000,947.4000,966.7160,7.0180,967.3000
977.6000,943.2000,968.2920,7.1609,970.0000
978.4000,950.8000,969.7640,6.1822,971.1000
978.6000,948.0000,970.0400,6.3776,970.8000
979.0000,945.2000,970.5920,6.7161,971.9000
979.4000,952.8000,970.9400,6.2170,972.5000
980.0000,951.8000,971.3680,6.6015,973.5000
980.0000,960.0000,973.0600,5.0609,974.3000
980.2000,955.8000,973.1960,5.4340,974.2000
980.8000,955.2000,972.4640,5.5069,972.9000
981.0000,956.8000,972.9640,5.3962,973.7000
981.0000,956.8000,973.4560,5.1918,974.2000
981.0000,959.0000,973.4400,5.3297,973.9000
980.8000,957.8000,973.9440,5.1796,974.4000
981.2000,962.8000,975.0480,4.3682,975.7000
981.0000,964.8000,974.9120,4.1304,975.7000
981.2000,959.8000,974.5040,4.7916,975.5000
981.4000,956.6000,974.9800,5.0476,976.0000
981.0000,961.2000,975.3000,4.7401,976.4000
981.4000,959.4000,975.9040,4.8936,977.1000
981.4000,962.0000,976.2360,4.4465,976.9000
981.8000,963.2000,976.4520,4.0437,977.1000
982.0000,964.0000,977.0400,4.0923,977.8000
981.8000,959.4000,976.3200,4.3646,977.0000
982.2000,961.2000,976.4280,4.6532,977.2000
982.0000,960.6000,976.3360,4.9827,977.0000
982.0000,961.4000,976.8040,3.9201,977.2000
982.2000,961.6000,976.9720,4.2097,977.9000
982.2000,963.6000,976.9040,4.1439,978.1000
982.2000,965.2000,976.9840,3.7356,977.7000
982.0000,965.0000,977.4800,3.5552,978.7000
982.2000,965.8000,977.6160,3.4608,978.2000
982.2000,964.8000,977.3560,3.7543,978.3000
981.8000,965.8000,977.5280,3.5875,978.5000
982.2000,968.6000,977.6720,3.2428,978.3000
982.0000,959.4000,976.9200,4.4583,977.7000
982.4000,960.0000,977.3200,4.0928,978.2000
982.2000,967.6000,978.1800,3.1083,978.8000
982.6000,960.0000,977.9760,4.0586,978.9000
982.4000,960.4000,977.7760,4.0164,978.7000
982.0000,959.6000,977.4720,4.2469,978.6000
982.0000,960.6000,977.8600,4.0090,979.0000
982.4000,959.2000,977.5440,4.8450,978.9000
982.6000,965.6000,978.4480,3.4514,979.1000
982.4000,964.0000,977.7720,3.9928,978.5000
982.4000,966.6000,978.3760,3.0655,979.4000
982.4000,967.6000,978.2520,3.1141,979.0000
982.4000,966.4000,978.8200,3.0204,979.4000
982.4000,964.4000,977.8520,3.4878,978.7000
982.0000,966.0000,977.8920,3.4442,978.8000
982.4000,969.2000,978.3600,2.8497,978.8000
982.4000,968.4000,978.0720,3.0652,978.7000
982.4000,963.4000,977.7560,4.2570,979.1000
982.4000,965.8000,978.1560,3.5498,979.0000
982.6000,963.4000,978.1720,3.6407,979.2000
982.2000,966.6000,978.1640,3.1685,978.9000
982.4000,962.0000,978.0080,3.7624,979.0000
982.4000,970.6000,978.6880,2.5532,979.2000
982.4000,961.0000,978.0240,3.9192,979.0000
982.4000,964.8000,978.5320,3.0612,979.4000
982.2000,960.6000,978.5520,3.8568,979.3000
982.6000,957.6000,977.5960,4.3324,978.6000
982.6000,956.2000,977.5520,4.6447,978.9000
982.6000,955.8000,978.0680,4.5789,979.1000
982.2000,960.4000,978.3480,3.8623,979.5000
982.4000,964.0000,978.1640,3.3034,978.8000
982.2000,964.6000,978.4560,3.2588,979.2000
982.6000,961.8000,978.1320,3.7127,978.7000
982.6000,966.0000,978.5840,3.1459,979.2000
982.4000,962.6000,978.1680,3.6780,979.0000
982.6000,961.2000,978.6320,3.6905,979.5000
982.4000,964.2000,977.9640,3.5650,978.8000
982.6000,964.8000,978.6120,3.3162,979.4000
982.4000,964.2000,978.0240,3.6161,978.6000
982.4000,965.0000,978.3480,3.1565,978.9000
982.6000,965.4000,978.1920,3.3737,978.9000
982.4000,959.6000,978.1520,4.0078,979.1000
982.6000,961.8000,978.3720,3.5914,978.9000
982.4000,963.4000,978.4200,3.4303,979.1000
982.4000,962.6000,978.0200,4.2781,979.0000
982.6000,960.0000,978.2280,3.6287,979.2000
982.4000,964.4000,978.3840,3.2372,979.0000
