max,min,mean,std,median
907.3333,837.8000,875.0460,13.4415,875.5333
931.1333,870.6667,903.4213,12.0373,903.4333
943.1333,888.0000,917.0533,10.6377,917.4000
950.4667,898.9333,927.3360,10.1630,927.5667
956.2667,908.8667,934.9660,9.1944,935.2000
960.2667,917.0667,940.8527,8.8213,941.0667
962.8667,923.6000,944.8727,7.8817,945.3000
967.7333,925.2667,948.6147,7.9381,948.9000
968.8000,930.5333,951.8520,7.7589,952.3333
970.0667,934.8000,954.8960,7.5071,955.7000
973.1333,937.8000,957.5293,7.0503,957.7333
974.3333,940.0667,960.1247,6.9265,960.5000
976.4000,941.8667,962.1200,6.8984,962.6333
976.9333,943.9333,963.7227,6.8383,964.1333
978.4000,945.2000,966.0047,6.8215,966.3000
979.4000,947.3333,967.8047,6.5942,968.4000
980.0667,951.0000,969.3060,6.4386,970.0000
980.9333,952.3333,970.4160,6.4681,971.3333
981.3333,952.0667,972.0787,6.2390,973.1000
982.0667,954.1333,973.5440,5.8813,974.6000
982.0667,956.5333,974.4900,5.5903,976.1000
982.2000,957.5333,975.3313,5.0673,976.2667
982.5333,957.1333,975.8613,5.0836,976.8000
982.7333,959.2667,976.5960,4.8063,977.7333
982.9333,960.5333,977.1307,4.5961,978.2667
983.0667,960.5333,977.6547,4.2567,978.6000
983.3333,960.8000,977.6800,4.4717,978.8333
983.3333,959.2667,977.4660,4.6187,978.6000
983.5333,962.4667,977.8133,4.5373,979.0667
983.6000,959.1333,977.9160,4.7071,979.5333
983.4667,959.8000,978.1100,4.5464,979.3333
983.6000,961.9333,978.1287,4.4714,979.3333
983.7333,961.0000,978.4620,4.5083,979.5333
983.6667,962.0667,978.4927,4.3090,979.5000
983.6667,961.5333,978.3193,4.5049,979.5667
983.8667,962.4000,978.5767,4.1045,979.6667
983.8000,962.2667,978.6347,4.2445,979.5333
984.0000,966.1333,978.8280,3.7161,979.7667
983.9333,964.6667,978.7573,3.9966,979.7000
984.0667,963.1333,978.8553,4.0649,979.9333
984.0667,963.2667,978.9207,4.1419,980.0000
984.1333,961.4000,978.9713,4.3259,980.0000
984.0000,962.2000,979.2267,3.9054,980.0667
984.2000,962.0000,979.0973,3.9850,980.0000
984.1333,962.6000,979.5367,3.8289,980.3000
984.1333,964.3333,979.5613,3.5712,980.1667
984.1333,963.2000,979.5060,3.7212,980.3000
984.2000,963.7333,979.4647,3.6757,980.1000
984.1333,960.2667,979.5180,3.8841,980.2667
984.1333,965.8000,979.4120,3.5050,980.0667
984.2000,964.3333,979.5767,3.6941,980.2667
984.2000,962.2667,979.5733,3.8640,980.2667
984.2667,962.7333,979.5073,3.8022,980.4333
984.3333,963.6667,979.7247,3.5686,980.4000
984.3333,965.1333,979.7173,3.5211,980.5000
984.3333,963.4000,979.7780,3.6484,980.5000
984.4000,962.6000,979.5987,3.8778,980.4000
984.4667,963.4000,979.6647,3.7176,980.3333
984.4000,961.7333,979.5753,3.8100,980.4000
984.4000,963.1333,979.7400,3.7591,980.3667
984.4667,961.5333,979.7993,3.7577,980.5333
984.4000,963.6667,979.8893,3.5511,980.5333
984.4667,962.0667,979.8660,3.8914,980.7667
984.4000,962.0667,979.8793,3.7631,980.7333
984.4667,964.5333,979.9167,3.6573,980.5667
984.4000,962.2667,980.0667,3.5994,980.9000
984.4667,962.7333,979.8973,3.7213,980.6333
984.5333,964.1333,980.0420,3.6189,980.6000
984.4667,960.0000,979.9887,3.7780,980.7333
984.5333,964.0000,980.0220,3.5098,980.7333
984.6000,962.2667,979.9720,3.8449,980.6000
984.6000,962.9333,979.9093,3.7760,980.8000
984.6000,963.2000,980.0247,3.6398,980.7333
984.7333,960.6000,979.8493,4.1200,980.7667
984.7333,961.7333,980.0113,3.8551,980.6333
984.6667,963.6000,979.8873,3.9054,980.7333
984.7333,963.0000,979.9073,3.9573,980.6333
984.8000,963.0667,979.8440,3.8523,980.4333
984.7333,965.2000,980.0407,3.6847,980.7333
984.8000,965.1333,979.9753,3.7923,980.5667
984.8667,967.0667,980.0300,3.6745,980.7333
984.8000,963.0667,979.8953,3.8415,980.5333
984.8667,964.6667,980.0133,3.7216,980.7333
984.8667,963.8667,980.0167,3.7834,980.7000
984.8000,964.2000,979.9747,3.8720,980.6667
984.8667,961.0667,979.7867,4.1341,980.4000
984.8667,963.4000,980.0860,3.8189,980.8333
984.8000,962.6000,979.9667,3.8579,980.5667
984.8000,963.6667,979.8633,3.9030,980.6333
984.8667,961.5333,979.7893,4.2054,980.6000
984.9333,962.2000,979.6627,4.0110,980.5333
984.8667,961.5333,979.6533,4.0607,980.4000
984.8000,963.6667,979.6207,3.9888,980.5000
984.9333,962.0000,979.5827,4.1855,980.4000
984.8667,961.6667,979.4560,4.1217,980.4000
984.8667,960.9333,979.6473,4.0644,980.4000
985.0000,959.8000,979.7607,4.0789,980.5667
985.0000,960.3333,979.7380,4.1799,980.5667
984.9333,961.6000,979.3427,4.2312,980.2000
984.9333,961.4667,979.5760,4.2027,980.4667
984.9333,960.2667,979.5840,4.2559,980.5667
984.9333,964.7333,979.6527,3.9536,980.4000
984.9333,959.3333,979.6527,4.2622,980.6000
984.9333,960.4667,979.5627,4.1612,980.4333
984.8667,962.6667,979.8147,3.9250,980.5667
984.9333,962.6000,979.7753,4.0353,980.7333
985.0000,959.6667,979.6107,4.3009,980.4000
985.0000,963.5333,979.7020,3.9718,980.3333
984.9333,963.6667,979.7820,3.9676,980.4333
985.0000,962.6000,979.8080,4.1151,980.6667
985.0000,963.3333,979.8867,3.9109,980.6333
984.9333,963.9333,979.7827,3.8638,980.7000
984.8667,961.8667,979.6380,4.2458,980.5000
984.8667,960.3333,979.5253,4.3736,980.3000
984.9333,961.4000,979.6527,4.1887,980.3333
984.9333,959.7333,979.5940,4.2448,980.5667
985.0000,963.0000,979.6913,4.0925,980.5333
985.0000,960.4000,979.5307,4.2502,980.4000
985.0000,963.6000,979.9040,3.7848,980.6000
985.0000,963.8000,979.7033,4.0055,980.5000
984.9333,962.2000,979.6980,4.1340,980.6667
984.8667,964.4667,979.7513,3.9618,980.6000
984.9333,964.9333,979.9420,3.8839,980.8000
985.0667,959.8000,979.6007,4.3070,980.4667
985.0667,958.5333,979.6033,4.6049,980.6000
984.9333,961.8000,979.9893,4.0109,980.8333
985.0000,958.2000,979.6373,4.5016,980.7667
985.0667,961.9333,979.8140,4.2398,980.7000
985.0000,960.2667,979.8687,4.3264,980.7000
985.0000,962.9333,979.7867,4.1148,980.5333
985.0000,960.3333,979.6973,4.3342,980.5000
985.0000,960.0000,979.7087,4.5384,980.9333
985.0000,962.8667,979.6060,4.3098,980.6667
985.0667,959.6667,979.9460,4.3196,980.7667
985.0667,959.7333,979.6167,4.4754,980.5333
985.0000,959.7333,979.6493,4.3150,980.5333
985.0667,963.4667,979.9560,4.1360,980.9000
985.0667,957.4667,979.4467,4.6909,980.4333
985.0000,958.7333,979.6420,4.4860,980.5333
985.1333,957.8000,979.6473,4.6090,980.5667
985.1333,963.8000,980.1880,3.8942,980.9333
985.1333,962.6000,980.0253,4.1615,980.8667
985.2000,959.0000,979.7233,4.4375,980.2333
985.0667,962.4000,979.7700,4.2053,980.7000
985.0667,958.3333,980.0993,4.4216,980.7333
985.1333,961.4667,980.1807,4.0690,980.9667
985.1333,963.5333,980.1860,3.9567,981.0000
985.1333,962.9333,980.3727,3.9289,981.0000
985.2667,958.8000,980.1400,4.4425,981.0333
985.2667,959.6000,980.2153,4.1499,980.9667
985.2000,962.2667,980.2520,4.0670,981.1000
985.2000,962.1333,980.0433,4.0935,980.8667
985.0000,959.2000,980.1633,4.2239,981.1000
985.1333,964.2667,980.3100,3.9163,981.0667
985.0667,961.6667,980.2860,3.9802,981.0000
985.2000,961.8667,980.3847,4.0454,981.1667
985.2000,962.5333,980.2720,3.9807,980.9667
985.2667,962.0667,980.2813,4.0041,980.9333
985.2667,965.8667,980.4793,3.5811,981.0667
985.3333,962.0000,979.9100,4.1522,980.5333
985.2000,963.7333,980.2200,4.0726,981.1333
985.2667,960.3333,980.2087,4.1065,980.9000
985.3333,961.6667,980.3507,4.0425,981.0333
985.3333,963.2667,980.4740,3.7752,981.1333
985.4000,960.7333,980.3313,4.2258,981.0667
985.4000,963.7333,980.5440,3.7809,981.2667
985.4000,964.2667,980.3867,3.7797,981.1333
985.5333,961.6000,980.3167,4.1041,981.0667
985.4000,964.0667,980.5440,3.6649,981.0667
985.4000,963.2667,980.5293,3.7395,981.0667
985.4000,963.4000,980.7520,3.7089,981.3667
985.5333,962.0667,980.5120,3.8981,981.2333
985.4667,964.7333,980.6153,3.5572,981.2667
985.4667,961.4667,980.7120,3.8996,981.4333
985.6000,963.8667,980.8527,3.4772,981.3333
985.3333,962.8667,980.6587,3.8263,981.4000
985.6667,962.7333,980.8233,3.8819,981.6000
985.5333,963.2667,980.6680,3.8203,981.4000
985.5333,962.8667,980.8593,3.6903,981.5000
985.6667,964.6000,980.9867,3.5366,981.6000
985.6000,963.8000,980.8913,3.5754,981.4000
985.6000,964.3333,980.9227,3.4787,981.4000
985.6667,963.2667,980.8247,3.7260,981.4667
985.6667,964.8000,981.0807,3.5367,981.6000
985.7333,963.3333,980.5620,3.9837,981.2000
985.6000,965.1333,980.7853,3.6399,981.4333
