max,min,mean,std,median
163.4000,109.8000,140.7350,12.0529,142.2000
169.2000,107.6000,150.5250,11.6797,152.1000
171.4000,128.6000,157.9750,10.0543,159.3000
173.4000,133.8000,162.1800,9.3454,164.3000
174.6000,142.2000,167.2600,7.3364,169.5000
174.8000,146.6000,169.6350,5.4151,171.1000
174.6000,149.8000,170.4200,4.4512,171.6000
174.8000,154.8000,170.7700,4.3891,171.9000
174.4000,158.4000,171.3600,3.0804,171.5000
174.8000,160.4000,171.4550,2.6687,171.2000
175.0000,168.2000,172.0400,1.5999,171.5000
175.2000,171.0000,172.2400,1.1142,172.0000
175.0000,171.2000,172.0850,1.1102,171.3000
174.8000,171.2000,172.0300,1.1174,171.3000
175.0000,171.2000,172.2350,1.1125,172.2000
174.8000,171.2000,172.2550,1.1752,171.8000
175.0000,171.2000,172.0400,1.1083,171.4000
174.8000,171.2000,171.9200,1.0040,171.4000
175.2000,171.2000,172.2650,1.1529,171.8000
175.2000,171.2000,172.1100,1.1599,171.2000
175.2000,171.2000,172.1350,1.1716,171.4000
175.0000,171.2000,172.2100,1.2097,171.6000
174.8000,171.2000,172.1000,1.0666,171.8000
174.8000,171.2000,172.0800,1.0658,171.7000
174.8000,171.2000,172.0150,1.0482,171.4000
175.2000,171.2000,172.0950,1.1622,171.7000
174.6000,171.2000,172.1350,1.1537,171.5000
175.2000,171.2000,172.0250,1.0831,171.4000
175.2000,171.2000,172.1600,1.1102,171.9000
175.2000,171.2000,172.3200,1.2518,172.0000
175.2000,171.2000,172.1700,1.1695,172.0000
175.0000,171.2000,172.1150,1.1888,171.5000
175.2000,171.2000,172.0750,1.1032,171.5000
174.8000,171.2000,172.1000,1.0853,171.6000
175.2000,171.2000,171.9750,1.0349,171.4000
175.2000,171.2000,172.2350,1.2174,171.6000
175.2000,171.2000,172.1050,1.1269,171.4000
175.0000,171.2000,172.1900,1.1521,171.8000
174.2000,171.2000,171.9650,0.9466,171.4000
175.2000,171.2000,172.1900,1.1977,171.5000
175.0000,171.2000,172.0050,1.1491,171.2000
175.0000,171.2000,172.0750,1.0801,171.6000
174.8000,171.2000,172.1250,1.0696,171.4000
175.2000,171.2000,172.3100,1.1745,172.0000
174.8000,171.2000,172.0750,1.0969,171.4000
174.8000,171.2000,172.1400,1.1023,171.8000
175.2000,171.2000,172.2050,1.1777,171.8000
175.0000,171.2000,172.0250,1.0615,171.5000
175.2000,171.2000,172.1050,1.1339,171.6000
175.2000,171.2000,172.0950,1.1830,171.4000
175.2000,171.2000,172.2450,1.2339,171.8000
174.6000,171.2000,172.0150,1.0339,171.5000
175.2000,171.2000,172.1700,1.2070,171.6000
175.2000,171.2000,172.1250,1.1622,171.6000
175.0000,171.2000,172.1050,1.1029,171.5000
175.2000,171.2000,172.1000,1.1378,171.6000
175.2000,171.2000,172.1550,1.1487,171.6000
175.2000,171.2000,172.1350,1.1828,171.4000
175.2000,171.2000,172.2100,1.2084,171.7000
174.8000,171.2000,172.1200,1.1055,171.6000
175.2000,171.2000,172.1150,1.1383,171.4000
174.8000,171.2000,172.1300,1.1187,171.5000
175.2000,171.2000,172.1150,1.0499,171.7000
175.2000,171.2000,172.2750,1.2618,171.8000
175.2000,171.2000,172.0550,1.1569,171.5000
174.8000,171.2000,172.1650,1.0933,171.8000
174.8000,171.2000,172.1450,1.1182,171.8000
175.2000,171.2000,172.1350,1.1478,171.7000
175.2000,171.2000,172.1150,1.2280,171.3000
175.2000,171.2000,172.3200,1.2319,172.1000
174.8000,171.2000,172.1500,1.0761,171.8000
175.2000,171.2000,172.0600,1.1313,171.4000
174.8000,171.2000,172.1500,1.0763,171.6000
175.0000,171.2000,172.1500,1.1122,171.6000
174.8000,171.2000,172.0350,1.0545,171.5000
175.2000,171.2000,172.1700,1.2152,171.7000
175.2000,171.2000,172.1550,1.1434,171.5000
174.4000,171.2000,172.0250,0.9825,171.4000
174.6000,171.2000,172.1050,1.0400,171.7000
174.8000,171.2000,172.1150,1.0586,171.8000
175.2000,171.2000,172.2200,1.2444,171.7000
174.8000,171.2000,172.2300,1.1385,172.1000
175.0000,171.2000,172.1450,1.1275,171.7000
174.6000,171.2000,171.9650,1.0440,171.2000
174.8000,171.2000,172.1150,1.1059,171.8000
174.8000,171.2000,172.1900,1.1732,171.6000
174.8000,171.2000,172.1000,1.1397,171.5000
174.6000,171.2000,172.1150,1.0682,171.5000
175.0000,171.2000,172.1000,1.1076,171.4000
175.0000,171.2000,172.2150,1.1408,171.8000
174.4000,171.2000,172.1150,1.0336,171.9000
175.2000,171.2000,172.1900,1.1633,171.6000
175.2000,171.2000,172.1850,1.1669,171.7000
175.2000,171.2000,172.1400,1.1135,171.6000
175.0000,171.2000,172.0150,1.1084,171.4000
174.8000,171.2000,172.0450,1.0786,171.5000
174.8000,171.2000,172.2000,1.1626,171.7000
174.6000,171.2000,172.0000,1.0173,171.4000
175.2000,171.2000,172.1750,1.1554,171.7000
175.2000,171.2000,172.3150,1.1831,171.9000
174.8000,171.2000,172.1800,1.2226,171.6000
175.2000,171.2000,172.1200,1.1601,171.5000
175.2000,171.2000,172.2300,1.1451,171.7000
175.2000,171.2000,172.1700,1.1250,171.5000
175.2000,171.2000,172.2500,1.1796,171.7000
174.8000,171.2000,172.1350,1.0876,171.6000
174.8000,171.2000,172.1550,1.1481,171.4000
174.4000,171.2000,172.0850,1.0337,171.6000
175.0000,171.2000,172.0850,1.0547,171.7000
175.2000,171.2000,171.9650,1.1413,171.2000
174.6000,171.2000,172.1150,1.0353,171.9000
175.2000,171.2000,172.1400,1.2252,171.7000
175.2000,171.2000,172.1950,1.1578,171.9000
175.2000,171.2000,172.1750,1.1366,172.0000
