max,min,mean,std,median
903.6000,841.2000,873.9920,13.9963,873.5000
928.4000,870.0000,901.1160,12.1387,901.5000
937.6000,889.6000,913.4600,10.6894,913.7000
948.2000,896.0000,922.7160,11.1059,922.7000
954.0000,910.2000,932.7400,9.2184,933.1000
956.4000,916.6000,939.3920,8.4874,940.6000
959.2000,920.6000,942.2200,8.6226,943.0000
964.2000,923.8000,945.7960,8.5962,946.4000
966.4000,928.0000,949.1720,7.7738,949.5000
967.2000,933.0000,951.4320,7.6511,952.0000
969.0000,935.0000,954.5760,7.3638,955.2000
971.4000,936.8000,956.9520,7.4536,957.6000
971.6000,937.2000,958.2240,7.3165,959.4000
973.4000,943.0000,960.1040,7.1618,960.1000
975.6000,943.2000,962.3000,7.5148,963.1000
975.4000,944.8000,963.5040,7.1456,964.6000
976.4000,946.2000,964.1400,7.1717,965.2000
977.6000,946.2000,965.1840,8.0437,966.3000
978.2000,948.0000,967.0000,6.9306,967.5000
977.8000,946.4000,967.9160,6.8430,968.3000
978.4000,951.8000,970.3120,6.3132,971.8000
979.2000,953.6000,971.0600,6.1602,973.0000
979.4000,952.6000,971.4000,6.0589,972.7000
979.6000,954.4000,971.5920,6.0133,972.7000
979.8000,954.8000,972.3920,5.5953,973.8000
980.0000,957.8000,972.8480,5.4886,974.2000
980.4000,957.4000,973.1920,5.2089,973.8000
981.0000,960.2000,973.6840,5.2076,975.1000
980.6000,953.6000,972.3720,5.9464,973.9000
980.8000,956.8000,973.3320,5.5885,974.5000
981.2000,959.2000,974.8680,4.8940,976.1000
981.2000,958.6000,974.8280,4.6614,975.8000
981.2000,958.6000,975.2160,4.8962,976.1000
981.4000,960.0000,974.8400,4.8298,975.3000
981.4000,957.4000,974.8320,4.7359,975.3000
981.6000,964.2000,975.2760,4.2770,976.1000
981.4000,960.4000,975.2600,4.5881,976.4000
981.4000,960.8000,975.3480,4.7541,976.0000
981.2000,960.2000,975.8040,4.3997,976.4000
981.4000,957.2000,975.5040,4.7281,976.4000
981.2000,957.0000,974.8320,4.6677,975.0000
981.4000,962.2000,976.1720,4.0717,976.5000
981.4000,964.6000,976.1240,4.0819,976.5000
981.4000,964.6000,976.0560,3.7608,976.2000
981.6000,965.6000,975.9680,3.8305,976.3000
981.6000,965.2000,976.0120,3.9814,976.4000
981.6000,964.2000,976.6560,3.9882,977.7000
981.4000,964.8000,975.9720,4.3079,977.4000
981.6000,962.8000,976.5200,4.4708,977.6000
982.0000,959.2000,975.9040,5.0441,977.2000
982.0000,960.6000,977.0040,4.6141,977.9000
982.2000,962.2000,976.6360,4.3067,977.6000
982.2000,965.8000,976.9120,4.1860,977.9000
982.0000,957.4000,977.2400,4.9556,978.5000
982.2000,967.6000,977.9280,3.8398,978.9000
982.2000,966.0000,977.6560,3.8038,978.2000
982.2000,967.0000,977.7680,3.5951,978.5000
982.2000,965.6000,978.1720,3.6709,978.9000
982.4000,967.2000,978.4840,3.6298,979.8000
982.4000,957.2000,977.6480,4.5657,978.6000
982.4000,964.0000,977.4480,3.8188,978.3000
982.4000,968.0000,977.6160,3.4154,978.3000
982.4000,964.2000,977.5840,3.4664,978.1000
982.4000,963.0000,977.4880,3.9931,977.9000
981.8000,967.4000,977.7080,3.4712,978.4000
982.4000,964.0000,977.8600,3.4841,978.1000
982.4000,963.4000,977.9840,3.4677,978.6000
982.4000,965.2000,977.8760,3.3295,978.2000
982.4000,962.6000,977.9160,3.9529,978.5000
982.4000,964.6000,977.8520,3.4791,978.4000
982.4000,968.8000,978.3160,2.9817,978.8000
982.4000,967.8000,978.2960,3.2316,978.7000
982.4000,964.8000,978.4360,3.3170,979.3000
982.4000,962.2000,977.8760,4.0464,979.1000
982.4000,967.0000,978.1160,3.2981,978.5000
982.2000,964.0000,978.1760,3.7571,978.9000
982.4000,969.0000,977.9880,3.2064,978.4000
981.6000,965.6000,977.6760,3.1605,978.4000
982.4000,969.0000,978.1080,2.8116,978.6000
982.4000,969.2000,978.0920,2.8909,978.2000
982.4000,969.2000,977.9880,3.0711,978.7000
982.4000,969.0000,978.2600,2.9580,978.9000
982.4000,967.6000,978.4360,2.8594,978.6000
982.4000,968.6000,978.4840,2.9152,978.6000
982.4000,967.0000,978.1360,3.2468,978.6000
982.4000,967.6000,978.1120,3.0513,978.6000
982.4000,968.4000,978.2560,2.7993,978.7000
982.4000,969.2000,978.5280,2.5644,978.9000
982.4000,967.4000,978.3800,2.9905,978.6000
982.4000,965.2000,978.1720,3.0867,978.5000
982.4000,965.8000,978.0720,3.1719,978.3000
982.2000,967.2000,978.0120,3.2135,979.0000
982.4000,959.4000,977.8720,4.0272,978.6000
982.4000,968.6000,978.3640,3.0564,978.8000
982.4000,969.4000,978.5600,2.9328,979.0000
982.4000,972.6000,978.2600,2.3892,978.4000
982.4000,967.4000,978.8280,3.0637,979.6000
982.2000,965.0000,978.0560,3.1707,978.6000
982.4000,972.2000,978.7040,2.5046,978.8000
982.4000,969.2000,978.4080,2.9823,978.9000
